dates I C D F E HC HS HP HB IC IS IB
1 2020/03/18 0 0 0 0 0 0 0 0 0 0 0 0
2 2020/03/19 0 0 0 0 0 0 0 0 0 0 0 0
3 2020/03/20 0 0 0 0 0 0 0 0 0 0 0 0
4 2020/03/21 0 0 0 0 0 0 0 0 0 0 0 0
5 2020/03/22 0 0 0 0 0 0 0 0 0 0 0 0
6 2020/03/23 0 0 0 0 0 0 0 0 0 0 0 0
7 2020/03/24 0 0 0 0 0 0 0 0 0 0 0 0
8 2020/03/25 0 0 0 0 0 0 0 0 0 0 0 0
9 2020/03/26 0 0 0 0 0 0 0 0 0 0 0 0
10 2020/03/27 0 0 0 0 0 0 0 0 0 0 0 0
11 2020/03/28 0 0 0 0 0 0 0 0 0 0 0 0
12 2020/03/29 0 0 0 0 0 1 2 0 0 0 0 3
13 2020/03/30 0 0 0 0 0 0 2 0 0 0 0 5
14 2020/03/31 0 0 0 0 0 0 4 0 0 0 0 3
15 2020/04/01 0 0 0 0 0 0 5 0 0 0 0 3
16 2020/04/02 0 0 0 0 0 0 3 0 0 0 0 2
17 2020/04/03 1 1 0 0 0 0 2 0 0 0 0 2
18 2020/04/04 0 1 0 0 0 0 2 0 0 0 0 1
19 2020/04/05 0 1 0 0 0 0 1 0 0 0 0 1
20 2020/04/06 1 2 0 0 0 0 3 0 0 0 0 0
21 2020/04/07 0 2 0 0 0 0 3 0 0 0 1 2
22 2020/04/08 0 2 0 0 0 0 2 0 0 0 1 4
23 2020/04/09 0 2 0 0 0 0 2 0 0 0 0 5
24 2020/04/10 0 2 0 0 0 0 3 0 0 0 0 4
25 2020/04/11 0 2 0 0 0 0 2 0 0 0 1 5
26 2020/04/12 0 2 0 0 0 0 2 0 0 0 0 6
27 2020/04/13 0 2 0 0 0 0 1 0 0 0 1 3
28 2020/04/14 0 2 0 0 0 0 5 0 0 0 4 4
29 2020/04/15 0 2 0 0 0 0 0 0 0 0 1 4
30 2020/04/16 0 2 0 0 0 0 3 0 0 0 0 2
31 2020/04/17 0 2 0 0 0 0 4 0 0 0 1 3
32 2020/04/18 0 2 0 0 0 0 2 0 0 0 1 6
33 2020/04/19 0 2 0 0 0 0 0 0 0 0 0 3
34 2020/04/20 0 2 0 0 0 0 2 0 0 0 1 1
35 2020/04/21 0 2 0 0 0 0 1 1 0 0 0 3
36 2020/04/22 0 2 0 0 0 0 2 2 0 0 1 3
37 2020/04/23 0 2 0 0 0 0 6 6 0 0 3 3
38 2020/04/24 0 2 0 0 0 0 4 4 0 0 0 6
39 2020/04/25 0 2 0 0 0 0 4 4 0 0 0 0
40 2020/04/26 1 3 0 0 0 0 2 2 0 0 1 5
41 2020/04/27 0 3 0 0 0 0 5 5 0 0 2 5
42 2020/04/28 0 3 0 0 0 0 5 5 0 0 1 3
43 2020/04/29 0 3 0 0 0 0 3 3 0 0 1 2
44 2020/04/30 0 3 0 0 0 0 4 4 0 0 2 2
45 2020/05/01 0 3 0 0 0 0 0 0 0 0 0 3
46 2020/05/02 0 3 0 0 0 0 0 0 0 0 0 4
47 2020/05/03 0 3 0 0 0 0 0 0 0 0 0 7
48 2020/05/04 0 3 0 0 0 0 0 0 0 0 0 5
49 2020/05/05 0 3 0 0 0 0 0 0 51 0 0 5
50 2020/05/06 0 3 0 0 0 0 0 0 51 0 0 6
51 2020/05/07 0 3 0 0 0 0 1 1 51 0 0 1
52 2020/05/08 0 3 0 0 0 0 1 1 51 0 1 2
53 2020/05/09 0 3 0 0 0 0 0 0 51 0 0 0
54 2020/05/10 0 3 0 0 0 0 0 0 51 0 0 1
55 2020/05/11 0 3 0 0 0 0 0 0 51 0 0 0
56 2020/05/12 0 3 0 0 0 0 0 0 51 0 0 1
57 2020/05/13 1 4 0 0 0 0 0 0 51 0 0 3
58 2020/05/14 0 4 0 0 0 0 0 0 51 0 0 5
59 2020/05/15 0 4 0 0 0 0 0 0 51 0 0 2
60 2020/05/16 0 4 0 0 0 0 0 0 51 0 0 2
61 2020/05/17 3 7 0 0 0 0 0 0 51 0 0 3
62 2020/05/18 1 8 0 0 0 0 0 0 51 0 0 2
63 2020/05/19 0 8 0 0 0 0 0 0 51 0 0 1
64 2020/05/20 1 9 0 0 0 0 0 0 51 0 0 0
65 2020/05/21 0 9 0 0 0 0 0 0 51 0 0 1
66 2020/05/22 0 9 0 0 0 0 0 0 51 0 0 4
67 2020/05/23 1 10 0 0 0 0 0 0 51 0 0 0
68 2020/05/24 6 16 0 0 0 0 0 0 51 0 0 2
69 2020/05/25 4 20 0 0 0 0 1 1 51 0 0 3
70 2020/05/26 10 30 0 0 0 0 1 1 51 0 0 2
71 2020/05/27 4 34 0 0 0 0 0 0 51 0 0 4
72 2020/05/28 3 37 0 0 0 0 0 0 51 0 0 4
73 2020/05/29 0 37 0 0 0 0 0 0 51 0 0 3
74 2020/05/30 0 37 0 0 0 0 0 0 51 0 0 3
75 2020/05/31 0 37 0 0 0 0 1 1 51 0 1 4
76 2020/06/01 1 38 0 0 0 0 0 0 51 0 0 4
77 2020/06/02 1 39 0 0 0 0 0 0 51 0 0 2
78 2020/06/03 0 39 0 0 0 0 0 0 51 0 0 0
79 2020/06/04 6 45 0 0 0 0 0 0 51 0 0 1
80 2020/06/05 0 45 0 0 0 0 0 0 51 0 0 2
81 2020/06/06 0 45 0 0 0 0 0 0 51 0 0 1
82 2020/06/07 0 45 0 0 0 0 1 1 51 0 1 1
83 2020/06/08 0 45 0 0 0 0 0 0 51 0 0 1
84 2020/06/09 0 45 0 0 0 0 0 0 51 0 0 1
85 2020/06/10 0 45 0 0 0 0 0 0 51 0 0 1
86 2020/06/11 0 45 0 0 0 0 1 1 51 0 0 3
87 2020/06/12 0 45 0 0 0 0 0 0 51 0 0 4
88 2020/06/13 0 45 0 0 0 0 0 0 51 0 0 2
89 2020/06/14 0 45 0 0 0 0 0 0 51 0 0 0
90 2020/06/15 0 45 0 0 0 0 0 0 51 0 0 0
91 2020/06/16 0 45 0 0 0 0 0 0 51 0 0 2
92 2020/06/17 0 45 0 0 0 0 0 0 51 0 0 2
93 2020/06/18 1 46 0 0 0 0 0 0 51 0 0 2
94 2020/06/19 0 46 0 0 0 0 0 0 51 0 0 5
95 2020/06/20 0 46 0 0 0 0 0 0 51 0 0 5
96 2020/06/21 0 46 0 0 0 0 0 0 51 0 0 6
97 2020/06/22 0 46 0 0 0 0 0 0 51 0 0 6
98 2020/06/23 0 46 0 0 0 1 0 1 51 1 0 4
99 2020/06/24 1 47 0 0 0 1 0 1 51 1 0 0
100 2020/06/25 0 47 0 0 0 1 0 1 51 1 0 1
101 2020/06/26 0 47 0 0 0 1 0 1 51 1 0 2
102 2020/06/27 0 47 0 0 0 1 0 1 51 0 0 0
103 2020/06/28 0 47 0 0 0 1 1 2 51 1 1 0
104 2020/06/29 0 47 0 0 0 1 0 1 51 1 0 0
105 2020/06/30 2 49 0 0 0 1 0 1 51 1 0 0
106 2020/07/01 1 50 0 0 0 1 0 1 51 0 0 0
107 2020/07/02 0 50 0 0 0 1 0 1 51 0 0 1
108 2020/07/03 0 50 0 0 0 1 0 1 51 0 0 0
109 2020/07/04 0 50 0 0 0 1 0 1 51 0 0 0
110 2020/07/05 7 57 0 0 0 1 0 1 51 0 0 2
111 2020/07/06 0 57 0 0 0 1 0 1 51 0 0 2
112 2020/07/07 0 57 0 0 0 1 0 1 51 0 0 2
113 2020/07/08 0 57 0 0 0 0 0 0 51 0 0 1
114 2020/07/09 0 57 0 0 0 0 0 0 51 0 0 2
115 2020/07/10 0 57 0 0 0 0 0 0 51 0 0 2
116 2020/07/11 2 59 0 0 0 0 0 0 51 0 0 0
117 2020/07/12 0 59 0 0 0 0 0 0 51 0 0 4
118 2020/07/13 0 59 0 0 0 0 1 1 51 0 0 0
119 2020/07/14 1 60 0 0 0 0 1 1 51 0 0 0
120 2020/07/15 0 60 0 0 0 0 0 0 51 0 0 0
121 2020/07/16 0 60 0 0 0 0 0 0 51 0 0 0
122 2020/07/17 0 60 0 0 0 0 0 0 51 0 0 6
123 2020/07/18 1 61 0 0 0 0 0 0 51 0 0 6
124 2020/07/19 0 61 0 0 0 0 2 2 51 0 1 1
125 2020/07/20 0 61 0 0 0 0 1 1 51 0 0 1
126 2020/07/21 5 66 0 0 0 0 0 0 51 0 0 1
127 2020/07/22 0 66 0 0 0 0 0 0 52 0 0 3
128 2020/07/23 0 66 0 0 0 0 0 0 51 0 0 2
129 2020/07/24 0 66 0 0 0 0 0 0 51 0 0 2
130 2020/07/25 1 67 0 0 0 0 0 0 51 0 0 2
131 2020/07/26 0 67 0 0 0 0 0 0 51 0 0 2
132 2020/07/27 0 67 0 0 0 0 0 0 52 0 0 2
133 2020/07/28 1 68 0 0 0 0 0 0 51 0 0 1
134 2020/07/29 0 68 0 0 0 0 0 0 51 0 0 0
135 2020/07/30 0 68 0 0 0 0 0 0 51 0 0 0
136 2020/07/31 0 68 0 0 0 0 1 1 53 0 0 0
137 2020/08/01 0 68 0 0 0 0 0 0 52 0 0 3
138 2020/08/02 0 68 0 0 0 0 0 0 52 0 0 4
139 2020/08/03 0 68 0 0 0 0 1 1 52 0 0 3
140 2020/08/04 1 69 0 0 0 0 0 0 51 0 0 4
141 2020/08/05 0 69 0 0 0 0 0 0 51 0 0 3
142 2020/08/06 0 69 0 0 0 0 5 5 51 0 2 3
143 2020/08/07 0 69 0 0 0 1 4 5 52 0 2 2
144 2020/08/08 0 69 0 0 0 1 1 2 52 1 0 0
145 2020/08/09 0 69 0 0 0 1 0 1 51 1 0 0
146 2020/08/10 0 69 0 0 0 1 1 2 51 1 0 2
147 2020/08/11 4 73 0 0 0 2 1 3 52 1 0 1
148 2020/08/12 1 74 0 0 0 2 0 2 51 2 0 0
149 2020/08/13 0 74 0 0 0 1 0 1 51 1 0 1
150 2020/08/14 2 76 0 0 0 0 4 4 52 0 1 1
151 2020/08/15 1 77 0 0 0 0 1 1 52 0 0 3
152 2020/08/16 0 77 0 0 0 0 1 1 51 0 0 3
153 2020/08/17 0 77 1 1 0 0 0 0 51 0 0 3
154 2020/08/18 1 78 1 0 0 0 0 0 51 0 0 3
155 2020/08/19 0 78 1 0 0 0 0 0 51 0 0 5
156 2020/08/20 0 78 1 0 0 0 3 3 51 0 2 2
157 2020/08/21 0 78 1 0 0 0 3 3 51 0 2 2
158 2020/08/22 2 80 1 0 0 0 2 2 51 0 1 2
159 2020/08/23 0 80 1 0 0 0 0 0 51 0 0 2
160 2020/08/24 0 80 1 0 0 0 2 2 51 0 1 1
161 2020/08/25 3 83 1 0 0 0 0 0 51 0 0 4
162 2020/08/26 3 86 1 0 0 0 0 0 51 0 0 3
163 2020/08/27 21 107 1 0 0 0 0 0 51 0 0 2
164 2020/08/28 0 107 1 0 0 0 0 0 51 0 0 3
165 2020/08/29 1 108 1 0 0 0 1 1 51 0 0 4
166 2020/08/30 0 108 1 0 0 0 0 0 52 0 0 5
167 2020/08/31 0 108 1 0 0 0 0 0 52 0 0 3
168 2020/09/01 0 108 1 0 0 0 0 0 51 0 0 2
169 2020/09/02 1 109 1 0 0 0 0 0 51 0 0 1
170 2020/09/03 0 109 1 0 0 0 0 0 51 0 0 2
171 2020/09/04 0 109 1 0 0 0 0 0 51 0 0 2
172 2020/09/05 0 109 1 0 0 0 1 1 51 0 0 4
173 2020/09/06 0 109 1 0 0 0 1 1 51 0 0 6
174 2020/09/07 0 109 1 0 0 0 0 0 51 0 0 6
175 2020/09/08 0 109 1 0 0 0 0 0 51 0 0 3
176 2020/09/09 0 109 1 0 0 0 0 0 51 0 0 1
177 2020/09/10 3 112 1 0 0 0 0 0 51 0 0 3
178 2020/09/11 3 115 1 0 0 0 0 0 51 0 0 2
179 2020/09/12 1 116 1 0 0 0 0 0 51 0 0 4
180 2020/09/13 0 116 1 0 0 0 2 2 53 0 0 5
181 2020/09/14 0 116 1 0 0 0 1 1 53 0 0 4
182 2020/09/15 13 129 1 0 0 0 0 0 51 0 0 2
183 2020/09/16 2 131 1 0 0 0 0 0 51 0 0 0
184 2020/09/17 0 131 1 0 0 0 0 0 51 0 0 0
185 2020/09/18 0 131 1 0 0 0 0 0 51 0 0 1
186 2020/09/19 1 132 1 0 0 0 0 0 51 0 0 2
187 2020/09/20 0 132 1 0 0 0 1 1 51 0 1 3
