dates I C D F E
1 2020/03/18 13 88 0 0 1
2 2020/03/19 13 101 0 0 1
3 2020/03/20 15 116 0 0 1
4 2020/03/21 16 132 0 0 1
5 2020/03/22 15 147 0 0 1
6 2020/03/23 18 165 0 0 1
7 2020/03/24 21 186 0 0 1
8 2020/03/25 6 192 0 0 1
9 2020/03/26 11 203 0 0 1
10 2020/03/27 16 219 0 0 1
11 2020/03/28 16 235 0 0 1
12 2020/03/29 11 246 0 0 2
13 2020/03/30 11 257 0 0 1
14 2020/03/31 10 267 0 0 1
15 2020/04/01 17 284 1 1 1
16 2020/04/02 18 302 1 0 1
17 2020/04/03 13 315 1 0 1
18 2020/04/04 12 327 2 1 1
19 2020/04/05 9 336 2 0 1
20 2020/04/06 20 356 2 0 1
21 2020/04/07 12 368 2 0 1
22 2020/04/08 15 383 2 0 1
23 2020/04/09 18 401 2 0 1
24 2020/04/10 11 412 2 0 1
25 2020/04/11 12 424 2 0 1
26 2020/04/12 8 432 2 0 1
27 2020/04/13 25 457 2 0 1
28 2020/04/14 19 476 3 1 1
29 2020/04/15 25 501 3 0 1
30 2020/04/16 19 520 3 0 1
31 2020/04/17 13 533 4 1 1
32 2020/04/18 5 538 4 0 1
33 2020/04/19 6 544 4 0 1
34 2020/04/20 9 553 5 1 1
35 2020/04/21 11 564 5 0 1
36 2020/04/22 12 576 5 0 1
37 2020/04/23 8 584 6 1 1
38 2020/04/24 10 594 7 1 1
39 2020/04/25 7 601 7 0 1
40 2020/04/26 8 609 7 0 1
41 2020/04/27 12 621 7 0 1
42 2020/04/28 13 634 8 1 1
43 2020/04/29 7 641 8 0 1
44 2020/04/30 14 655 8 0 1
45 2020/05/01 19 674 8 0 1
46 2020/05/02 8 682 8 0 1
47 2020/05/03 12 694 8 0 1
48 2020/05/04 368 1062 9 1 1
49 2020/05/05 257 1319 10 1 0
50 2020/05/06 226 1545 11 1 0
51 2020/05/07 47 1592 11 0 0
52 2020/05/08 32 1624 11 0 0
53 2020/05/09 13 1637 11 0 0
54 2020/05/10 13 1650 11 0 0
55 2020/05/11 22 1672 11 0 0
56 2020/05/12 21 1693 11 0 0
57 2020/05/13 40 1733 11 0 0
58 2020/05/14 16 1749 11 0 0
59 2020/05/15 18 1767 11 0 1
60 2020/05/16 15 1782 11 0 0
61 2020/05/17 12 1794 11 0 0
62 2020/05/18 27 1821 11 0 0
63 2020/05/19 17 1838 11 0 0
64 2020/05/20 18 1856 11 0 0
65 2020/05/21 22 1878 12 1 0
66 2020/05/22 20 1898 12 0 1
67 2020/05/23 16 1914 12 0 0
68 2020/05/24 11 1925 12 0 0
69 2020/05/25 16 1941 12 0 0
70 2020/05/26 18 1959 12 0 0
71 2020/05/27 25 1984 12 0 0
72 2020/05/28 19 2003 12 0 0
73 2020/05/29 48 2051 12 0 0
74 2020/05/30 33 2084 12 0 0
75 2020/05/31 28 2112 12 0 0
76 2020/06/01 56 2168 14 2 0
77 2020/06/02 42 2210 14 0 0
78 2020/06/03 45 2255 15 1 0
79 2020/06/04 43 2298 16 1 0
80 2020/06/05 40 2338 16 0 0
81 2020/06/06 36 2374 16 0 0
82 2020/06/07 40 2414 16 0 0
83 2020/06/08 61 2475 16 0 0
84 2020/06/09 63 2538 16 0 0
85 2020/06/10 62 2600 16 0 0
86 2020/06/11 56 2656 17 1 0
87 2020/06/12 65 2721 20 3 0
88 2020/06/13 54 2775 21 1 0
