dates I C D F E
1 2020/03/18 32 323 0 0 1
2 2020/03/19 29 352 0 0 1
3 2020/03/20 36 388 0 0 1
4 2020/03/21 21 409 0 0 1
5 2020/03/22 24 433 2 2 1
6 2020/03/23 39 472 2 0 1
7 2020/03/24 32 504 2 0 1
8 2020/03/25 32 536 4 2 1
9 2020/03/26 21 557 5 1 1
10 2020/03/27 40 597 7 2 1
11 2020/03/28 19 616 10 3 1
12 2020/03/29 27 643 10 0 3
13 2020/03/30 34 677 10 0 1
14 2020/03/31 39 716 11 1 1
15 2020/04/01 66 782 13 2 1
16 2020/04/02 27 809 14 1 1
17 2020/04/03 51 860 15 1 1
18 2020/04/04 36 896 16 1 1
19 2020/04/05 23 919 18 2 1
20 2020/04/06 42 961 20 2 1
21 2020/04/07 31 992 23 3 1
22 2020/04/08 35 1027 26 3 1
23 2020/04/09 42 1069 28 2 1
24 2020/04/10 50 1119 30 2 1
25 2020/04/11 41 1160 33 3 1
26 2020/04/12 42 1202 37 4 1
27 2020/04/13 43 1245 40 3 1
28 2020/04/14 38 1283 44 4 1
29 2020/04/15 45 1328 45 1 1
30 2020/04/16 50 1378 45 0 1
31 2020/04/17 33 1411 49 4 1
32 2020/04/18 55 1466 52 3 1
33 2020/04/19 25 1491 53 1 1
34 2020/04/20 50 1541 55 2 1
35 2020/04/21 33 1574 56 1 1
36 2020/04/22 30 1604 58 2 1
37 2020/04/23 49 1653 60 2 1
38 2020/04/24 38 1691 62 2 1
39 2020/04/25 31 1722 62 0 1
40 2020/04/26 25 1747 63 1 1
41 2020/04/27 61 1808 65 2 1
42 2020/04/28 60 1868 66 1 1
43 2020/04/29 57 1925 68 2 1
44 2020/04/30 58 1983 68 0 1
45 2020/05/01 60 2043 69 1 1
46 2020/05/02 38 2081 71 2 1
47 2020/05/03 37 2118 73 2 1
48 2020/05/04 58 2176 73 0 1
49 2020/05/05 58 2234 74 1 0
50 2020/05/06 43 2277 76 2 0
51 2020/05/07 38 2315 77 1 0
52 2020/05/08 60 2375 79 2 0
53 2020/05/09 43 2418 80 1 0
54 2020/05/10 43 2461 81 1 0
55 2020/05/11 77 2538 83 2 0
56 2020/05/12 50 2588 86 3 0
57 2020/05/13 64 2652 87 1 0
58 2020/05/14 58 2710 88 1 0
59 2020/05/15 92 2802 90 2 0
60 2020/05/16 34 2836 92 2 0
61 2020/05/17 50 2886 93 1 0
62 2020/05/18 95 2981 94 1 0
63 2020/05/19 73 3054 94 0 0
64 2020/05/20 77 3131 94 0 0
65 2020/05/21 73 3204 95 1 0
66 2020/05/22 66 3270 96 1 0
67 2020/05/23 54 3324 97 1 0
68 2020/05/24 41 3365 98 1 0
69 2020/05/25 73 3438 99 1 0
70 2020/05/26 94 3532 99 0 0
71 2020/05/27 95 3627 99 0 0
72 2020/05/28 83 3710 100 1 0
73 2020/05/29 99 3809 101 1 0
74 2020/05/30 35 3844 103 2 0
75 2020/05/31 26 3870 104 1 0
76 2020/06/01 105 3975 106 2 0
77 2020/06/02 66 4041 106 0 0
78 2020/06/03 76 4117 107 1 0
79 2020/06/04 59 4176 107 0 0
80 2020/06/05 99 4275 108 1 0
81 2020/06/06 51 4326 109 1 0
82 2020/06/07 46 4372 110 1 0
83 2020/06/08 113 4485 111 1 0
84 2020/06/09 81 4566 113 2 0
85 2020/06/10 111 4677 115 2 0
86 2020/06/11 100 4777 116 1 0
87 2020/06/12 129 4906 117 1 0
88 2020/06/13 73 4979 117 0 0
89 2020/06/14 64 5043 117 0 0
90 2020/06/15 147 5190 120 3 0
91 2020/06/16 127 5317 122 2 0
92 2020/06/17 118 5435 122 0 0
93 2020/06/18 123 5558 125 3 0
94 2020/06/19 129 5687 126 1 0
95 2020/06/20 73 5760 128 2 0
96 2020/06/21 62 5822 130 2 0
97 2020/06/22 194 6016 131 1 0
98 2020/06/23 151 6167 133 2 0
99 2020/06/24 180 6347 134 1 0
100 2020/06/25 162 6509 134 0 0
101 2020/06/26 189 6698 136 2 0
102 2020/06/27 86 6784 136 0 0
103 2020/06/28 96 6880 138 2 0
104 2020/06/29 261 7141 138 0 0
105 2020/06/30 208 7349 139 1 0
106 2020/07/01 247 7596 139 0 0
107 2020/07/02 218 7814 143 4 0
108 2020/07/03 126 7940 144 1 0
109 2020/07/04 121 8061 145 1 0
110 2020/07/05 112 8173 145 0 0
111 2020/07/06 250 8423 145 0 0
112 2020/07/07 235 8658 147 2 0
113 2020/07/08 320 8978 149 2 0
114 2020/07/09 290 9268 151 2 0
115 2020/07/10 230 9498 154 3 0
116 2020/07/11 157 9655 157 3 0
117 2020/07/12 103 9758 159 2 0
118 2020/07/13 270 10028 160 1 0
119 2020/07/14 309 10337 163 3 0
120 2020/07/15 341 10678 164 1 0
121 2020/07/16 205 10883 166 2 0
122 2020/07/17 233 11116 171 5 0
123 2020/07/18 142 11258 171 0 0
124 2020/07/19 137 11395 172 1 0
125 2020/07/20 241 11636 172 0 0
126 2020/07/21 255 11891 174 2 0
127 2020/07/22 214 12105 175 1 0
128 2020/07/23 217 12322 178 3 0
129 2020/07/24 243 12565 179 1 0
130 2020/07/25 141 12706 182 3 0
131 2020/07/26 97 12803 182 0 0
132 2020/07/27 239 13042 186 4 0
133 2020/07/28 228 13270 187 1 0
134 2020/07/29 230 13500 193 6 0
135 2020/07/30 221 13721 195 2 0
136 2020/07/31 205 13926 197 2 0
137 2020/08/01 129 14055 200 3 0
138 2020/08/02 112 14167 201 1 0
139 2020/08/03 246 14413 204 3 0
140 2020/08/04 180 14593 208 4 0
141 2020/08/05 217 14810 210 2 0
142 2020/08/06 216 15026 213 3 0
143 2020/08/07 222 15248 216 3 0
144 2020/08/08 110 15358 219 3 0
145 2020/08/09 110 15468 220 1 1
146 2020/08/10 282 15750 224 4 0
147 2020/08/11 240 15990 227 3 0
148 2020/08/12 261 16251 230 3 0
149 2020/08/13 213 16464 230 0 0
150 2020/08/14 281 16745 232 2 0
151 2020/08/15 140 16885 237 5 0
152 2020/08/16 77 16962 237 0 0
153 2020/08/17 291 17253 240 3 0
154 2020/08/18 193 17446 244 4 0
155 2020/08/19 178 17624 249 5 0
156 2020/08/20 158 17782 253 4 0
157 2020/08/21 160 17942 256 3 0
158 2020/08/22 92 18034 260 4 1
159 2020/08/23 94 18128 262 2 0
160 2020/08/24 223 18351 271 9 0
161 2020/08/25 195 18546 272 1 0
162 2020/08/26 157 18703 276 4 0
163 2020/08/27 163 18866 281 5 0
164 2020/08/28 145 19011 285 4 0
165 2020/08/29 83 19094 291 6 0
166 2020/08/30 67 19161 298 7 1
167 2020/08/31 125 19286 298 0 0
168 2020/09/01 147 19433 301 3 0
169 2020/09/02 139 19572 305 4 0
170 2020/09/03 118 19690 308 3 0
171 2020/09/04 103 19793 311 3 0
172 2020/09/05 69 19862 316 5 0
173 2020/09/06 46 19908 321 5 0
174 2020/09/07 58 19966 323 2 0
175 2020/09/08 121 20087 325 2 0
176 2020/09/09 109 20196 328 3 0
177 2020/09/10 79 20275 332 4 0
178 2020/09/11 74 20349 334 2 0
179 2020/09/12 55 20404 337 3 0
180 2020/09/13 59 20463 338 1 1
181 2020/09/14 106 20569 340 2 0
182 2020/09/15 127 20696 342 2 0
183 2020/09/16 106 20802 345 3 0
184 2020/09/17 98 20900 352 7 0
185 2020/09/18 99 20999 353 1 0
186 2020/09/19 66 21065 356 3 0
187 2020/09/20 50 21115 359 3 0
188 2020/09/21 101 21216 360 1 0
189 2020/09/22 79 21295 364 4 0
190 2020/09/23 79 21374 366 2 0
191 2020/09/24 69 21443 369 3 0
192 2020/09/25 75 21518 370 1 0
193 2020/09/26 54 21572 371 1 0
194 2020/09/27 58 21630 371 0 0
195 2020/09/28 82 21712 371 0 0
196 2020/09/29 87 21799 375 4 0
197 2020/09/30 75 21874 375 0 0
198 2020/10/01 78 21952 379 4 0
199 2020/10/02 61 22013 381 2 1
200 2020/10/03 54 22067 382 1 0
201 2020/10/04 46 22113 382 0 1
202 2020/10/05 96 22209 382 0 0
203 2020/10/06 88 22297 382 0 0
204 2020/10/07 91 22388 383 1 0
205 2020/10/08 77 22465 385 2 0
206 2020/10/09 81 22546 386 1 0
207 2020/10/10 48 22594 387 1 1
208 2020/10/11 50 22644 388 1 1
209 2020/10/12 90 22734 389 1 1
210 2020/10/13 79 22813 390 1 0
211 2020/10/14 104 22917 391 1 0
212 2020/10/15 99 23016 392 1 1
213 2020/10/16 68 23084 392 0 0
214 2020/10/17 54 23138 392 0 0
215 2020/10/18 45 23183 392 0 1
216 2020/10/19 104 23287 393 1 0
217 2020/10/20 110 23397 393 0 1
218 2020/10/21 102 23499 394 1 0
219 2020/10/22 88 23587 394 0 0
220 2020/10/23 101 23688 394 0 0
221 2020/10/24 73 23761 395 1 0
222 2020/10/25 71 23832 396 1 0
223 2020/10/26 107 23939 396 0 0
224 2020/10/27 113 24052 396 0 0
225 2020/10/28 115 24167 398 2 0
226 2020/10/29 100 24267 403 5 0
227 2020/10/30 163 24430 403 0 0
228 2020/10/31 79 24509 405 2 0
229 2020/11/01 116 24625 408 3 0
230 2020/11/02 163 24788 409 1 0
231 2020/11/03 196 24984 409 0 1
232 2020/11/04 184 25168 410 1 0
233 2020/11/05 176 25344 411 1 0
234 2020/11/06 176 25520 412 1 0
235 2020/11/07 132 25652 412 0 0
236 2020/11/08 110 25762 414 2 0
237 2020/11/09 230 25992 414 0 0
238 2020/11/10 246 26238 414 0 0
239 2020/11/11 230 26468 414 0 0
240 2020/11/12 244 26712 418 4 0
241 2020/11/13 267 26979 421 3 0
242 2020/11/14 216 27195 423 2 0
243 2020/11/15 267 27462 424 1 0
244 2020/11/16 317 27779 426 2 0
245 2020/11/17 347 28126 427 1 0
246 2020/11/18 327 28453 428 1 0
247 2020/11/19 264 28717 429 1 0
