dates I C D F E
1 2020/03/18 1 9 0 0 0
2 2020/03/19 0 9 0 0 0
3 2020/03/20 1 10 0 0 0
4 2020/03/21 0 10 0 0 0
5 2020/03/22 0 10 0 0 0
6 2020/03/23 3 13 0 0 0
7 2020/03/24 0 13 0 0 0
8 2020/03/25 2 15 0 0 0
9 2020/03/26 1 16 0 0 0
10 2020/03/27 1 17 0 0 0
11 2020/03/28 0 17 0 0 0
12 2020/03/29 0 17 0 0 0
13 2020/03/30 1 18 0 0 0
14 2020/03/31 2 20 0 0 0
15 2020/04/01 4 24 0 0 0
16 2020/04/02 2 26 0 0 0
17 2020/04/03 3 29 0 0 0
18 2020/04/04 0 29 0 0 0
19 2020/04/05 0 29 0 0 0
20 2020/04/06 3 32 0 0 0
21 2020/04/07 3 35 0 0 0
22 2020/04/08 0 35 0 0 0
23 2020/04/09 1 36 0 0 0
24 2020/04/10 3 39 0 0 0
25 2020/04/11 0 39 0 0 0
26 2020/04/12 1 40 0 0 0
27 2020/04/13 0 40 0 0 0
28 2020/04/14 0 40 0 0 0
29 2020/04/15 0 40 0 0 0
30 2020/04/16 0 40 0 0 0
31 2020/04/17 3 43 0 0 0
32 2020/04/18 0 43 0 0 0
33 2020/04/19 0 43 0 0 0
34 2020/04/20 2 45 0 0 0
35 2020/04/21 0 45 0 0 0
36 2020/04/22 3 48 0 0 0
37 2020/04/23 0 48 0 0 0
38 2020/04/24 0 48 0 0 0
39 2020/04/25 0 48 0 0 0
40 2020/04/26 0 48 0 0 0
41 2020/04/27 1 49 0 0 0
42 2020/04/28 1 50 0 0 0
43 2020/04/29 3 53 0 0 0
44 2020/04/30 2 55 0 0 0
45 2020/05/01 2 57 0 0 0
46 2020/05/02 1 58 0 0 0
47 2020/05/03 0 58 0 0 0
48 2020/05/04 2 60 0 0 0
49 2020/05/05 1 61 0 0 0
50 2020/05/06 0 61 0 0 0
51 2020/05/07 3 64 0 0 0
52 2020/05/08 3 67 0 0 0
53 2020/05/09 2 69 0 0 0
54 2020/05/10 2 71 0 0 0
55 2020/05/11 3 74 0 0 0
