dates I C D F E
1 2020/03/18 0 0 5 5 1
2 2020/03/19 0 0 10 5 1
3 2020/03/20 1 1 16 6 1
4 2020/03/21 0 1 22 6 1
5 2020/03/22 1 2 29 7 1
6 2020/03/23 4 6 40 11 1
7 2020/03/24 6 12 57 17 1
8 2020/03/25 2 14 76 19 1
9 2020/03/26 4 18 99 23 1
10 2020/03/27 3 21 125 26 1
11 2020/03/28 1 22 152 27 1
12 2020/03/29 1 23 180 28 2
13 2020/03/30 1 24 209 29 1
14 2020/03/31 4 28 242 33 1
15 2020/04/01 5 33 280 38 1
16 2020/04/02 3 36 321 41 1
17 2020/04/03 5 41 367 46 1
18 2020/04/04 3 44 416 49 1
19 2020/04/05 4 48 469 53 1
20 2020/04/06 7 55 529 60 1
21 2020/04/07 7 62 596 67 1
22 2020/04/08 15 77 678 82 1
23 2020/04/09 15 92 775 97 1
24 2020/04/10 3 95 875 100 1
25 2020/04/11 3 98 978 103 1
26 2020/04/12 3 101 1084 106 2
27 2020/04/13 6 107 1196 112 1
28 2020/04/14 1 108 1309 113 1
29 2020/04/15 7 115 1429 120 1
30 2020/04/16 2 117 1551 122 1
31 2020/04/17 6 123 1679 128 1
32 2020/04/18 1 124 1808 129 1
33 2020/04/19 2 126 1939 131 1
34 2020/04/20 5 131 2075 136 1
35 2020/04/21 7 138 2218 143 1
36 2020/04/22 4 142 2365 147 1
37 2020/04/23 12 154 2524 159 1
38 2020/04/24 4 158 2687 163 1
39 2020/04/25 3 161 2853 166 1
40 2020/04/26 0 161 3019 166 1
41 2020/04/27 16 177 3201 182 1
42 2020/04/28 3 180 3386 185 1
43 2020/04/29 7 187 3578 192 1
44 2020/04/30 7 194 3777 199 1
45 2020/05/01 7 201 3983 206 1
46 2020/05/02 3 204 4192 209 1
47 2020/05/03 3 207 4404 212 1
48 2020/05/04 8 215 4624 220 1
49 2020/05/05 0 215 4844 220 0
50 2020/05/06 5 220 5069 225 1
51 2020/05/07 7 227 5301 232 0
52 2020/05/08 8 235 5541 240 0
53 2020/05/09 1 236 5782 241 0
54 2020/05/10 4 240 6027 245 0
55 2020/05/11 15 255 6287 260 0
56 2020/05/12 15 270 6562 275 0
57 2020/05/13 11 281 6848 286 0
58 2020/05/14 3 284 7137 289 0
59 2020/05/15 10 294 7436 299 0
60 2020/05/16 3 297 7738 302 0
61 2020/05/17 2 299 8042 304 0
62 2020/05/18 11 310 8357 315 0
63 2020/05/19 9 319 8681 324 0
64 2020/05/20 8 327 9013 332 0
65 2020/05/21 7 334 9352 339 0
66 2020/05/22 11 345 9702 350 0
67 2020/05/23 0 345 10052 350 0
68 2020/05/24 3 348 10405 353 0
69 2020/05/25 1 349 10759 354 0
70 2020/05/26 7 356 11120 361 0
71 2020/05/27 14 370 11495 375 0
72 2020/05/28 4 374 11874 379 0
73 2020/05/29 9 383 12262 388 0
74 2020/05/30 5 388 12655 393 1
75 2020/05/31 1 389 13049 394 0
76 2020/06/01 27 416 13470 421 0
77 2020/06/02 19 435 13910 440 0
78 2020/06/03 16 451 14366 456 0
79 2020/06/04 14 465 14836 470 0
80 2020/06/05 20 485 15326 490 0
81 2020/06/06 2 487 15818 492 0
82 2020/06/07 2 489 16312 494 0
83 2020/06/08 33 522 16839 527 0
84 2020/06/09 34 556 17400 561 0
85 2020/06/10 29 585 17990 590 0
86 2020/06/11 33 618 18613 623 0
87 2020/06/12 40 658 19276 663 0
88 2020/06/13 35 693 19974 698 0
89 2020/06/14 18 711 20690 716 0
90 2020/06/15 51 762 21457 767 0
91 2020/06/16 45 807 22269 812 0
92 2020/06/17 48 855 23129 860 0
93 2020/06/18 71 926 24060 931 0
94 2020/06/19 51 977 25042 982 0
95 2020/06/20 45 1022 26069 1027 0
96 2020/06/21 40 1062 27136 1067 0
97 2020/06/22 95 1157 28298 1162 0
98 2020/06/23 89 1246 29549 1251 0
99 2020/06/24 97 1343 30897 1348 0
100 2020/06/25 86 1429 32331 1434 0
101 2020/06/26 87 1516 33852 1521 0
102 2020/06/27 46 1562 35419 1567 0
103 2020/06/28 58 1620 37044 1625 0
104 2020/06/29 113 1733 38782 1738 0
105 2020/06/30 106 1839 40626 1844 0
106 2020/07/01 137 1976 42607 1981 0
107 2020/07/02 100 2076 44688 2081 0
108 2020/07/03 97 2173 46866 2178 0
109 2020/07/04 66 2239 49110 2244 0
110 2020/07/05 103 2342 51457 2347 0
111 2020/07/06 144 2486 53948 2491 0
112 2020/07/07 151 2637 56590 2642 0
113 2020/07/08 174 2811 59406 2816 0
114 2020/07/09 119 2930 62341 2935 0
115 2020/07/10 133 3063 65409 3068 0
116 2020/07/11 79 3142 68556 3147 0
117 2020/07/12 81 3223 71784 3228 0
118 2020/07/13 130 3353 75142 3358 0
119 2020/07/14 149 3502 78649 3507 0
120 2020/07/15 179 3681 82335 3686 0
121 2020/07/16 150 3831 86171 3836 0
122 2020/07/17 162 3993 90169 3998 0
123 2020/07/18 76 4069 94243 4074 0
124 2020/07/19 119 4188 98436 4193 0
125 2020/07/20 207 4395 102836 4400 0
126 2020/07/21 170 4565 107406 4570 0
127 2020/07/22 179 4744 112155 4749 0
128 2020/07/23 127 4871 117031 4876 0
129 2020/07/24 156 5027 122063 5032 0
130 2020/07/25 84 5111 127179 5116 0
131 2020/07/26 79 5190 132374 5195 0
132 2020/07/27 180 5370 137749 5375 0
133 2020/07/28 140 5510 143264 5515 0
134 2020/07/29 145 5655 148924 5660 0
135 2020/07/30 139 5794 154723 5799 0
136 2020/07/31 164 5958 160686 5963 0
137 2020/08/01 83 6041 166732 6046 1
138 2020/08/02 48 6089 172826 6094 0
139 2020/08/03 141 6230 179061 6235 0
140 2020/08/04 122 6352 185418 6357 0
141 2020/08/05 114 6466 191889 6471 0
142 2020/08/06 135 6601 198495 6606 0
143 2020/08/07 101 6702 205202 6707 0
144 2020/08/08 43 6745 211952 6750 0
145 2020/08/09 40 6785 218742 6790 0
146 2020/08/10 98 6883 225630 6888 0
147 2020/08/11 81 6964 232599 6969 0
148 2020/08/12 94 7058 239662 7063 0
149 2020/08/13 61 7119 246786 7124 1
150 2020/08/14 118 7237 254028 7242 0
151 2020/08/15 29 7266 261299 7271 1
152 2020/08/16 34 7300 268604 7305 0
153 2020/08/17 82 7382 275991 7387 0
154 2020/08/18 96 7478 283474 7483 0
155 2020/08/19 48 7526 291005 7531 0
156 2020/08/20 127 7653 298663 7658 0
157 2020/08/21 75 7728 306396 7733 0
158 2020/08/22 29 7757 314158 7762 0
159 2020/08/23 28 7785 321948 7790 0
160 2020/08/24 69 7854 329807 7859 0
161 2020/08/25 78 7932 337744 7937 0
162 2020/08/26 67 7999 345748 8004 0
163 2020/08/27 33 8032 353785 8037 0
164 2020/08/28 44 8076 361866 8081 0
165 2020/08/29 30 8106 369977 8111 0
166 2020/08/30 30 8136 378118 8141 0
167 2020/08/31 75 8211 386334 8216 0
168 2020/09/01 61 8272 394611 8277 0
169 2020/09/02 53 8325 402941 8330 0
170 2020/09/03 31 8356 411302 8361 0
171 2020/09/04 42 8398 419705 8403 1
172 2020/09/05 20 8418 428128 8423 0
173 2020/09/06 32 8450 436583 8455 0
174 2020/09/07 19 8469 445057 8474 0
175 2020/09/08 47 8516 453578 8521 0
176 2020/09/09 23 8539 462122 8544 0
177 2020/09/10 26 8565 470692 8570 0
178 2020/09/11 46 8611 479308 8616 0
179 2020/09/12 21 8632 487945 8637 0
180 2020/09/13 9 8641 496591 8646 0
181 2020/09/14 33 8674 505270 8679 0
182 2020/09/15 19 8693 513968 8698 0
183 2020/09/16 30 8723 522696 8728 0
184 2020/09/17 21 8744 531445 8749 0
185 2020/09/18 19 8763 540213 8768 0
186 2020/09/19 12 8775 548993 8780 0
187 2020/09/20 11 8786 557784 8791 0
188 2020/09/21 27 8813 566602 8818 0
189 2020/09/22 19 8832 575439 8837 0
190 2020/09/23 30 8862 584306 8867 0
191 2020/09/24 21 8883 593194 8888 0
192 2020/09/25 29 8912 602111 8917 0
193 2020/09/26 16 8928 611044 8933 0
194 2020/09/27 12 8940 619989 8945 0
195 2020/09/28 34 8974 628968 8979 0
196 2020/09/29 28 9002 637975 9007 0
197 2020/09/30 13 9015 646995 9020 0
198 2020/10/01 20 9035 656035 9040 0
199 2020/10/02 28 9063 665103 9068 0
200 2020/10/03 10 9073 674181 9078 0
201 2020/10/04 13 9086 683272 9091 0
202 2020/10/05 25 9111 692388 9116 0
203 2020/10/06 19 9130 701523 9135 0
204 2020/10/07 36 9166 710694 9171 0
205 2020/10/08 37 9203 719902 9208 0
206 2020/10/09 20 9223 729130 9228 0
207 2020/10/10 14 9237 738372 9242 0
208 2020/10/11 6 9243 747620 9248 0
209 2020/10/12 18 9261 756886 9266 0
210 2020/10/13 21 9282 766173 9287 0
211 2020/10/14 18 9300 775478 9305 0
212 2020/10/15 24 9324 784807 9329 0
213 2020/10/16 27 9351 794163 9356 0
214 2020/10/17 17 9368 803536 9373 0
215 2020/10/18 14 9382 812923 9387 0
216 2020/10/19 35 9417 822345 9422 0
217 2020/10/20 24 9441 831791 9446 0
218 2020/10/21 22 9463 841259 9468 1
219 2020/10/22 24 9487 850751 9492 0
220 2020/10/23 28 9515 860271 9520 0
221 2020/10/24 14 9529 869805 9534 0
222 2020/10/25 24 9553 879363 9558 0
223 2020/10/26 65 9618 888986 9623 0
224 2020/10/27 47 9665 898656 9670 0
225 2020/10/28 40 9705 908366 9710 0
226 2020/10/29 26 9731 918102 9736 0
227 2020/10/30 53 9784 927891 9789 0
228 2020/10/31 32 9816 937712 9821 0
229 2020/11/01 33 9849 947566 9854 0
230 2020/11/02 61 9910 957481 9915 0
231 2020/11/03 62 9972 967458 9977 0
232 2020/11/04 52 10024 977487 10029 0
233 2020/11/05 50 10074 987566 10079 0
234 2020/11/06 59 10133 997704 10138 0
235 2020/11/07 39 10172 1007881 10177 0
236 2020/11/08 32 10204 1018090 10209 0
237 2020/11/09 75 10279 1028374 10284 0
238 2020/11/10 103 10382 1038761 10387 0
239 2020/11/11 61 10443 1049209 10448 0
240 2020/11/12 71 10514 1059728 10519 0
241 2020/11/13 114 10628 1070361 10633 0
242 2020/11/14 55 10683 1081049 10688 0
243 2020/11/15 56 10739 1091793 10744 0
244 2020/11/16 133 10872 1102670 10877 0
245 2020/11/17 137 11009 1113684 11014 0
246 2020/11/18 144 11153 1124842 11158 0
247 2020/11/19 115 11268 1136115 11273 0
248 2020/11/20 141 11409 1147529 11414 0
249 2020/11/21 86 11495 1159029 11500 0
250 2020/11/22 61 11556 1170590 11561 0
251 2020/11/23 149 11705 1182300 11710 0
252 2020/11/24 187 11892 1194197 11897 0
253 2020/11/25 189 12081 1206283 12086 0
254 2020/11/26 58 12139 1218427 12144 0
255 2020/11/27 147 12286 1230718 12291 0
256 2020/11/28 106 12392 1243115 12397 0
257 2020/11/29 97 12489 1255609 12494 0
258 2020/11/30 237 12726 1268340 12731 0
259 2020/12/01 274 13000 1281345 13005 0
260 2020/12/02 242 13242 1294592 13247 0
261 2020/12/03 242 13484 1308081 13489 0
262 2020/12/04 247 13731 1321817 13736 0
263 2020/12/05 115 13846 1335668 13851 0
264 2020/12/06 105 13951 1349624 13956 1
265 2020/12/07 335 14286 1363915 14291 0
266 2020/12/08 358 14644 1378564 14649 0
267 2020/12/09 307 14951 1393520 14956 0
268 2020/12/10 239 15190 1408715 15195 0
269 2020/12/11 246 15436 1424156 15441 0
270 2020/12/12 118 15554 1439715 15559 0
271 2020/12/13 90 15644 1455364 15649 0
272 2020/12/14 351 15995 1471364 16000 0
273 2020/12/15 400 16395 1487764 16400 0
274 2020/12/16 303 16698 1504467 16703 0
275 2020/12/17 287 16985 1521457 16990 0
276 2020/12/18 263 17248 1538710 17253 0
277 2020/12/19 81 17329 1556044 17334 0
278 2020/12/20 138 17467 1573516 17472 0
279 2020/12/21 316 17783 1591304 17788 0
280 2020/12/22 248 18031 1609340 18036 0
281 2020/12/23 245 18276 1627621 18281 0
282 2020/12/24 156 18432 1646058 18437 0
283 2020/12/25 70 18502 1664565 18507 0
284 2020/12/26 160 18662 1683232 18667 0
285 2020/12/27 157 18819 1702056 18824 0
286 2020/12/28 368 19187 1721248 19192 0
287 2020/12/29 321 19508 1740761 19513 0
288 2020/12/30 348 19856 1760622 19861 0
289 2020/12/31 292 20148 1780775 20153 0
290 2021/01/01 87 20235 1801015 20240 0
291 2021/01/02 183 20418 1821438 20423 0
292 2021/01/03 140 20558 1842001 20563 0
293 2021/01/04 470 21028 1863034 21033 0
294 2021/01/05 414 21442 1884481 21447 0
295 2021/01/06 350 21792 1906278 21797 0
296 2021/01/07 344 22136 1928419 22141 0
297 2021/01/08 322 22458 1950882 22463 0
298 2021/01/09 195 22653 1973540 22658 0
299 2021/01/10 141 22794 1996339 22799 0
300 2021/01/11 274 23068 2019412 23073 0
301 2021/01/12 323 23391 2042808 23396 0
302 2021/01/13 249 23640 2066453 23645 0
303 2021/01/14 239 23879 2090337 23884 1
304 2021/01/15 228 24107 2114449 24112 0
305 2021/01/16 113 24220 2138674 24225 0
306 2021/01/17 89 24309 2162988 24314 0
307 2021/01/18 213 24522 2187515 24527 0
308 2021/01/19 245 24767 2212287 24772 0
309 2021/01/20 214 24981 2237273 24986 0
310 2021/01/21 174 25155 2262433 25160 0
311 2021/01/22 154 25309 2287747 25314 0
312 2021/01/23 123 25432 2313184 25437 0
313 2021/01/24 92 25524 2338713 25529 0
314 2021/01/25 213 25737 2364455 25742 0
315 2021/01/26 139 25876 2390336 25881 0
316 2021/01/27 140 26016 2416357 26021 0
317 2021/01/28 159 26175 2442537 26180 0
318 2021/01/29 123 26298 2468840 26303 0
319 2021/01/30 75 26373 2495218 26378 0
320 2021/01/31 75 26448 2521671 26453 0
321 2021/02/01 143 26591 2548267 26596 0
322 2021/02/02 126 26717 2574989 26722 0
323 2021/02/03 97 26814 2601808 26819 0
324 2021/02/04 115 26929 2628742 26934 0
325 2021/02/05 93 27022 2655769 27027 0
326 2021/02/06 59 27081 2682855 27086 0
327 2021/02/07 84 27165 2710025 27170 0
328 2021/02/08 111 27276 2737306 27281 0
329 2021/02/09 86 27362 2764673 27367 0
330 2021/02/10 99 27461 2792139 27466 0
331 2021/02/11 83 27544 2819688 27549 0
332 2021/02/12 64 27608 2847301 27613 0
333 2021/02/13 51 27659 2874965 27664 0
334 2021/02/14 44 27703 2902673 27708 0
335 2021/02/15 77 27780 2930458 27785 0
336 2021/02/16 75 27855 2958318 27860 0
337 2021/02/17 72 27927 2986250 27932 0
338 2021/02/18 54 27981 3014236 27986 0
339 2021/02/19 51 28032 3042273 28037 0
340 2021/02/20 31 28063 3070341 28068 0
341 2021/02/21 45 28108 3098454 28113 0
342 2021/02/22 94 28202 3126661 28207 0
343 2021/02/23 68 28270 3154936 28275 0
344 2021/02/24 88 28358 3183299 28363 0
345 2021/02/25 39 28397 3211701 28402 1
346 2021/02/26 50 28447 3240153 28452 0
347 2021/02/27 32 28479 3268637 28484 0
348 2021/02/28 41 28520 3297162 28525 0
349 2021/03/01 62 28582 3325749 28587 0
350 2021/03/02 45 28627 3354381 28632 0
351 2021/03/03 57 28684 3383070 28689 0
352 2021/03/04 53 28737 3411812 28742 0
353 2021/03/05 50 28787 3440604 28792 0
354 2021/03/06 34 28821 3469430 28826 0
355 2021/03/07 42 28863 3498298 28868 0
356 2021/03/08 72 28935 3527238 28940 1
357 2021/03/09 61 28996 3556239 29001 0
358 2021/03/10 61 29057 3585301 29062 0
359 2021/03/11 37 29094 3614400 29099 0
360 2021/03/12 49 29143 3643548 29148 0
361 2021/03/13 31 29174 3672727 29179 0
362 2021/03/14 31 29205 3701937 29210 0
363 2021/03/15 68 29273 3731215 29278 0
364 2021/03/16 40 29313 3760533 29318 0
365 2021/03/17 53 29366 3789904 29371 0
366 2021/03/18 28 29394 3819303 29399 0
367 2021/03/19 35 29429 3848737 29434 0
368 2021/03/20 29 29458 3878200 29463 0
369 2021/03/21 31 29489 3907694 29494 0
370 2021/03/22 61 29550 3937249 29555 0
371 2021/03/23 45 29595 3966849 29600 0
372 2021/03/24 32 29627 3996481 29632 0
373 2021/03/25 41 29668 4026154 29673 0
374 2021/03/26 34 29702 4055861 29707 0
375 2021/03/27 23 29725 4085591 29730 0
376 2021/03/28 33 29758 4115354 29763 0
377 2021/03/29 57 29815 4145174 29820 0
378 2021/03/30 24 29839 4175018 29844 0
379 2021/03/31 36 29875 4204898 29880 0
380 2021/04/01 29 29904 4234807 29909 0
381 2021/04/02 33 29937 4264749 29942 0
382 2021/04/03 24 29961 4294715 29966 0
383 2021/04/04 15 29976 4324696 29981 0
384 2021/04/05 43 30019 4354720 30024 0
385 2021/04/06 27 30046 4384771 30051 0
386 2021/04/07 29 30075 4414851 30080 0
387 2021/04/08 23 30098 4444954 30103 0
388 2021/04/09 22 30120 4475079 30125 0
389 2021/04/10 29 30149 4505233 30154 0
390 2021/04/11 21 30170 4535408 30175 0
391 2021/04/12 38 30208 4565621 30213 0
392 2021/04/13 32 30240 4595866 30245 0
393 2021/04/14 31 30271 4626142 30276 0
394 2021/04/15 18 30289 4656436 30294 0
395 2021/04/16 26 30315 4686756 30320 0
396 2021/04/17 15 30330 4717091 30335 0
397 2021/04/18 15 30345 4747441 30350 0
398 2021/04/19 36 30381 4777827 30386 0
399 2021/04/20 29 30410 4808242 30415 0
400 2021/04/21 28 30438 4838685 30443 0
401 2021/04/22 21 30459 4869149 30464 0
402 2021/04/23 34 30493 4899647 30498 0
403 2021/04/24 18 30511 4930163 30516 0
404 2021/04/25 20 30531 4960699 30536 0
405 2021/04/26 34 30565 4991269 30570 0
406 2021/04/27 17 30582 5021856 30587 0
407 2021/04/28 41 30623 5052484 30628 0
408 2021/04/29 18 30641 5083130 30646 0
409 2021/04/30 20 30661 5113796 30666 0
410 2021/05/01 13 30674 5144475 30679 0
411 2021/05/02 18 30692 5175172 30697 0
412 2021/05/03 22 30714 5205891 30719 0
413 2021/05/04 11 30725 5236621 30730 0
414 2021/05/05 17 30742 5267368 30747 0
415 2021/05/06 20 30762 5298135 30767 0
416 2021/05/07 14 30776 5328916 30781 1
417 2021/05/08 4 30780 5359701 30785 0
418 2021/05/09 9 30789 5390495 30794 0
419 2021/05/10 22 30811 5421311 30816 1
420 2021/05/11 10 30821 5452137 30826 0
421 2021/05/12 9 30830 5482972 30835 0
422 2021/05/13 16 30846 5513823 30851 0
423 2021/05/14 8 30854 5544682 30859 0
424 2021/05/15 10 30864 5575551 30869 0
425 2021/05/16 21 30885 5606441 30890 0
426 2021/05/17 23 30908 5637354 30913 0
427 2021/05/18 16 30924 5668283 30929 0
428 2021/05/19 18 30942 5699230 30947 0
429 2021/05/20 16 30958 5730193 30963 0
430 2021/05/21 13 30971 5761169 30976 0
431 2021/05/22 8 30979 5792153 30984 0
432 2021/05/23 10 30989 5823147 30994 0
433 2021/05/24 10 30999 5854151 31004 0
434 2021/05/25 10 31009 5885165 31014 0
435 2021/05/26 21 31030 5916200 31035 0
436 2021/05/27 9 31039 5947244 31044 0
437 2021/05/28 12 31051 5978300 31056 0
438 2021/05/29 3 31054 6009359 31059 0
439 2021/05/30 11 31065 6040429 31070 0
440 2021/05/31 4 31069 6071503 31074 0
441 2021/06/01 5 31074 6102582 31079 0
442 2021/06/02 9 31083 6133670 31088 0
443 2021/06/03 13 31096 6164771 31101 0
444 2021/06/04 4 31100 6195876 31105 0
