dates I C D F E
1 2020/03/18 57 778 10 0 1
2 2020/03/19 48 826 10 0 1
3 2020/03/20 66 892 12 2 1
4 2020/03/21 36 928 14 2 1
5 2020/03/22 60 988 16 2 1
6 2020/03/23 62 1050 21 5 1
7 2020/03/24 47 1097 22 1 1
8 2020/03/25 69 1166 29 7 1
9 2020/03/26 44 1210 29 0 1
10 2020/03/27 43 1253 30 1 1
11 2020/03/28 37 1290 32 2 1
12 2020/03/29 19 1309 34 2 3
13 2020/03/30 55 1364 36 2 1
14 2020/03/31 31 1395 37 1 2
15 2020/04/01 49 1444 40 3 1
16 2020/04/02 40 1484 42 2 1
17 2020/04/03 50 1534 43 1 1
18 2020/04/04 34 1568 45 2 1
19 2020/04/05 50 1618 47 2 1
20 2020/04/06 44 1662 48 1 1
21 2020/04/07 51 1713 49 1 1
22 2020/04/08 68 1781 51 2 1
23 2020/04/09 44 1825 55 4 1
24 2020/04/10 68 1893 56 1 1
25 2020/04/11 49 1942 61 5 1
26 2020/04/12 41 1983 67 6 1
27 2020/04/13 24 2007 68 1 1
28 2020/04/14 40 2047 70 2 1
29 2020/04/15 33 2080 74 4 1
30 2020/04/16 34 2114 77 3 1
31 2020/04/17 26 2140 82 5 1
32 2020/04/18 28 2168 86 4 1
33 2020/04/19 30 2198 88 2 1
34 2020/04/20 36 2234 93 5 1
35 2020/04/21 23 2257 96 3 1
36 2020/04/22 40 2297 99 3 1
37 2020/04/23 13 2310 100 1 1
38 2020/04/24 30 2340 101 1 1
39 2020/04/25 25 2365 102 1 1
40 2020/04/26 16 2381 105 3 1
41 2020/04/27 19 2400 107 2 1
42 2020/04/28 19 2419 109 2 1
43 2020/04/29 30 2449 110 1 1
44 2020/04/30 18 2467 113 3 1
45 2020/05/01 34 2501 115 2 1
46 2020/05/02 10 2511 118 3 1
47 2020/05/03 10 2521 120 2 1
48 2020/05/04 27 2548 124 4 1
49 2020/05/05 14 2562 124 0 0
50 2020/05/06 43 2605 126 2 0
51 2020/05/07 15 2620 126 0 0
52 2020/05/08 37 2657 127 1 0
53 2020/05/09 22 2679 129 2 0
54 2020/05/10 11 2690 129 0 0
55 2020/05/11 24 2714 131 2 0
56 2020/05/12 16 2730 132 1 0
57 2020/05/13 30 2760 133 1 0
58 2020/05/14 17 2777 134 1 0
59 2020/05/15 21 2798 135 1 0
60 2020/05/16 25 2823 136 1 0
61 2020/05/17 14 2837 136 0 0
62 2020/05/18 38 2875 136 0 0
63 2020/05/19 31 2906 136 0 0
64 2020/05/20 44 2950 136 0 0
65 2020/05/21 20 2970 137 1 0
66 2020/05/22 19 2989 137 0 0
67 2020/05/23 18 3007 137 0 0
68 2020/05/24 13 3020 137 0 0
69 2020/05/25 19 3039 138 1 0
70 2020/05/26 32 3071 138 0 0
71 2020/05/27 32 3103 138 0 0
72 2020/05/28 31 3134 140 2 0
73 2020/05/29 39 3173 140 0 0
74 2020/05/30 28 3201 140 0 0
75 2020/05/31 16 3217 142 2 0
76 2020/06/01 44 3261 143 1 0
77 2020/06/02 38 3299 144 1 0
78 2020/06/03 49 3348 144 0 0
79 2020/06/04 39 3387 144 0 0
80 2020/06/05 32 3419 145 1 0
81 2020/06/06 25 3444 145 0 0
82 2020/06/07 41 3485 145 0 0
83 2020/06/08 49 3534 145 0 0
84 2020/06/09 44 3578 146 1 0
85 2020/06/10 67 3645 147 1 0
86 2020/06/11 51 3696 147 0 0
87 2020/06/12 66 3762 148 1 0
88 2020/06/13 41 3803 148 0 1
