dates I C D F E
1 2020/03/18 8 8 0 0 1
2 2020/03/19 7 15 0 0 1
3 2020/03/20 8 23 1 1 1
4 2020/03/21 7 30 2 1 1
5 2020/03/22 10 40 3 1 1
6 2020/03/23 2 42 3 0 1
7 2020/03/24 3 45 3 0 1
8 2020/03/25 5 50 3 0 1
9 2020/03/26 5 55 3 0 1
10 2020/03/27 4 59 3 0 2
11 2020/03/28 3 62 4 1 1
12 2020/03/29 5 67 4 0 2
13 2020/03/30 1 68 4 0 1
14 2020/03/31 3 71 4 0 1
15 2020/04/01 6 77 4 0 1
16 2020/04/02 1 78 5 1 1
17 2020/04/03 0 78 5 0 1
18 2020/04/04 4 82 5 0 1
19 2020/04/05 1 83 5 0 2
20 2020/04/06 3 86 5 0 1
21 2020/04/07 0 86 5 0 1
22 2020/04/08 5 91 5 0 1
23 2020/04/09 0 91 5 0 1
24 2020/04/10 1 92 5 0 1
25 2020/04/11 1 93 5 0 1
26 2020/04/12 0 93 5 0 1
27 2020/04/13 2 95 5 0 1
28 2020/04/14 1 96 5 0 1
29 2020/04/15 1 97 5 0 1
30 2020/04/16 1 98 5 0 1
31 2020/04/17 2 100 5 0 1
32 2020/04/18 0 100 5 0 1
33 2020/04/19 2 102 5 0 1
34 2020/04/20 0 102 5 0 1
35 2020/04/21 1 103 5 0 1
36 2020/04/22 1 104 5 0 1
37 2020/04/23 2 106 6 1 1
38 2020/04/24 3 109 6 0 1
39 2020/04/25 2 111 6 0 1
40 2020/04/26 0 111 6 0 1
41 2020/04/27 0 111 6 0 1
42 2020/04/28 0 111 6 0 1
43 2020/04/29 10 121 6 0 1
44 2020/04/30 2 123 6 0 1
45 2020/05/01 1 124 6 0 1
46 2020/05/02 1 125 6 0 1
47 2020/05/03 2 127 6 0 1
48 2020/05/04 0 127 6 0 1
49 2020/05/05 1 128 6 0 0
50 2020/05/06 0 128 6 0 0
51 2020/05/07 3 131 6 0 0
52 2020/05/08 0 131 6 0 0
53 2020/05/09 2 133 6 0 0
54 2020/05/10 1 134 6 0 0
