dates I C D F E
1 2020/03/18 0 0 1 1 1
2 2020/03/19 0 0 2 1 1
3 2020/03/20 0 0 3 1 1
4 2020/03/21 1 1 5 2 1
5 2020/03/22 0 1 7 2 1
6 2020/03/23 0 1 9 2 1
7 2020/03/24 0 1 11 2 1
8 2020/03/25 2 3 15 4 1
9 2020/03/26 0 3 19 4 1
10 2020/03/27 0 3 23 4 1
11 2020/03/28 1 4 28 5 1
12 2020/03/29 0 4 33 5 2
13 2020/03/30 0 4 38 5 1
14 2020/03/31 0 4 43 5 1
15 2020/04/01 0 4 48 5 1
16 2020/04/02 0 4 53 5 1
17 2020/04/03 0 4 58 5 1
18 2020/04/04 0 4 63 5 1
19 2020/04/05 1 5 69 6 1
20 2020/04/06 0 5 75 6 1
21 2020/04/07 1 6 82 7 1
22 2020/04/08 0 6 89 7 1
23 2020/04/09 0 6 96 7 1
24 2020/04/10 0 6 103 7 1
25 2020/04/11 0 6 110 7 1
26 2020/04/12 0 6 117 7 1
27 2020/04/13 0 6 124 7 1
28 2020/04/14 0 6 131 7 1
29 2020/04/15 0 6 138 7 1
30 2020/04/16 0 6 145 7 1
31 2020/04/17 0 6 152 7 1
32 2020/04/18 0 6 159 7 1
33 2020/04/19 0 6 166 7 1
34 2020/04/20 1 7 174 8 1
35 2020/04/21 0 7 182 8 1
36 2020/04/22 0 7 190 8 1
37 2020/04/23 0 7 198 8 1
38 2020/04/24 0 7 206 8 1
39 2020/04/25 0 7 214 8 1
40 2020/04/26 0 7 222 8 1
41 2020/04/27 0 7 230 8 1
42 2020/04/28 0 7 238 8 1
43 2020/04/29 0 7 246 8 1
44 2020/04/30 0 7 254 8 1
45 2020/05/01 0 7 262 8 1
46 2020/05/02 0 7 270 8 1
47 2020/05/03 0 7 278 8 1
48 2020/05/04 0 7 286 8 1
49 2020/05/05 1 8 295 9 0
50 2020/05/06 0 8 304 9 0
51 2020/05/07 0 8 313 9 0
52 2020/05/08 0 8 322 9 0
53 2020/05/09 0 8 331 9 0
54 2020/05/10 1 9 341 10 0
55 2020/05/11 0 9 351 10 0
56 2020/05/12 0 9 361 10 0
57 2020/05/13 0 9 371 10 0
58 2020/05/14 0 9 381 10 0
59 2020/05/15 0 9 391 10 0
60 2020/05/16 0 9 401 10 0
61 2020/05/17 0 9 411 10 0
62 2020/05/18 0 9 421 10 0
63 2020/05/19 0 9 431 10 0
64 2020/05/20 0 9 441 10 0
65 2020/05/21 0 9 451 10 0
66 2020/05/22 0 9 461 10 0
67 2020/05/23 0 9 471 10 0
68 2020/05/24 0 9 481 10 0
69 2020/05/25 0 9 491 10 0
70 2020/05/26 0 9 501 10 0
71 2020/05/27 0 9 511 10 0
72 2020/05/28 0 9 521 10 0
73 2020/05/29 0 9 531 10 0
74 2020/05/30 0 9 541 10 0
75 2020/05/31 0 9 551 10 0
76 2020/06/01 0 9 561 10 0
77 2020/06/02 0 9 571 10 0
78 2020/06/03 0 9 581 10 0
79 2020/06/04 0 9 591 10 0
80 2020/06/05 0 9 601 10 0
81 2020/06/06 0 9 611 10 0
82 2020/06/07 0 9 621 10 0
83 2020/06/08 0 9 631 10 0
84 2020/06/09 0 9 641 10 0
85 2020/06/10 0 9 651 10 0
86 2020/06/11 0 9 661 10 0
87 2020/06/12 1 10 672 11 0
88 2020/06/13 0 10 683 11 0
89 2020/06/14 1 11 695 12 0
90 2020/06/15 0 11 707 12 0
91 2020/06/16 0 11 719 12 0
92 2020/06/17 0 11 731 12 0
