dates I C D F E
1 2020/03/18 20 20 0 0 1
2 2020/03/19 23 43 0 0 1
3 2020/03/20 33 76 0 0 1
4 2020/03/21 21 97 2 2 2
5 2020/03/22 28 125 2 0 1
6 2020/03/23 31 156 4 2 1
7 2020/03/24 32 188 4 0 1
8 2020/03/25 19 207 4 0 1
9 2020/03/26 27 234 5 1 1
10 2020/03/27 35 269 5 0 1
11 2020/03/28 23 292 5 0 1
12 2020/03/29 19 311 6 1 3
13 2020/03/30 40 351 7 1 1
14 2020/03/31 24 375 7 0 1
15 2020/04/01 52 427 8 1 1
16 2020/04/02 32 459 9 1 1
17 2020/04/03 18 477 12 3 1
18 2020/04/04 22 499 15 3 1
19 2020/04/05 18 517 17 2 1
20 2020/04/06 30 547 19 2 1
21 2020/04/07 30 577 20 1 1
22 2020/04/08 30 607 22 2 1
23 2020/04/09 35 642 23 1 1
24 2020/04/10 23 665 25 2 1
25 2020/04/11 9 674 26 1 1
26 2020/04/12 11 685 26 0 1
27 2020/04/13 37 722 29 3 1
28 2020/04/14 12 734 29 0 1
29 2020/04/15 9 743 29 0 1
30 2020/04/16 9 752 29 0 1
31 2020/04/17 8 760 29 0 1
32 2020/04/18 7 767 30 1 1
33 2020/04/19 12 779 31 1 1
34 2020/04/20 26 805 32 1 1
35 2020/04/21 11 816 34 2 1
36 2020/04/22 10 826 37 3 1
37 2020/04/23 5 831 37 0 1
38 2020/04/24 12 843 37 0 1
39 2020/04/25 6 849 37 0 1
40 2020/04/26 2 851 38 1 1
41 2020/04/27 10 861 38 0 1
42 2020/04/28 15 876 39 1 1
43 2020/04/29 14 890 39 0 1
44 2020/04/30 22 912 41 2 1
45 2020/05/01 6 918 43 2 1
46 2020/05/02 5 923 43 0 1
47 2020/05/03 5 928 44 1 1
48 2020/05/04 9 937 44 0 1
49 2020/05/05 10 947 46 2 0
50 2020/05/06 7 954 49 3 0
51 2020/05/07 7 961 49 0 0
52 2020/05/08 6 967 50 1 0
53 2020/05/09 5 972 51 1 0
54 2020/05/10 4 976 52 1 0
55 2020/05/11 16 992 52 0 0
56 2020/05/12 15 1007 54 2 0
57 2020/05/13 20 1027 55 1 0
58 2020/05/14 15 1042 55 0 0
59 2020/05/15 12 1054 55 0 0
60 2020/05/16 10 1064 55 0 0
61 2020/05/17 7 1071 55 0 0
62 2020/05/18 11 1082 55 0 0
63 2020/05/19 6 1088 55 0 0
64 2020/05/20 15 1103 55 0 1
65 2020/05/21 11 1114 55 0 0
66 2020/05/22 13 1127 55 0 1
67 2020/05/23 16 1143 55 0 0
68 2020/05/24 16 1159 56 1 0
69 2020/05/25 17 1176 57 1 0
70 2020/05/26 20 1196 57 0 0
71 2020/05/27 28 1224 57 0 0
72 2020/05/28 28 1252 57 0 0
73 2020/05/29 19 1271 58 1 0
74 2020/05/30 23 1294 59 1 0
75 2020/05/31 11 1305 59 0 0
76 2020/06/01 32 1337 59 0 0
77 2020/06/02 39 1376 59 0 0
78 2020/06/03 29 1405 59 0 0
79 2020/06/04 30 1435 60 1 0
80 2020/06/05 27 1462 60 0 0
81 2020/06/06 22 1484 61 1 0
82 2020/06/07 23 1507 62 1 0
83 2020/06/08 46 1553 63 1 0
84 2020/06/09 50 1603 63 0 0
85 2020/06/10 54 1657 63 0 0
86 2020/06/11 39 1696 63 0 0
87 2020/06/12 48 1744 64 1 0
88 2020/06/13 55 1799 64 0 0
89 2020/06/14 54 1853 65 1 0
90 2020/06/15 85 1938 65 0 0
91 2020/06/16 115 2053 65 0 0
92 2020/06/17 111 2164 65 0 0
93 2020/06/18 109 2273 65 0 0
94 2020/06/19 117 2390 65 0 0
95 2020/06/20 84 2474 68 3 1
96 2020/06/21 70 2544 69 1 1
97 2020/06/22 200 2744 70 1 0
98 2020/06/23 216 2960 72 2 0
99 2020/06/24 178 3138 73 1 0
100 2020/06/25 206 3344 73 0 0
101 2020/06/26 222 3566 73 0 0
102 2020/06/27 165 3731 73 0 1
103 2020/06/28 118 3849 74 1 0
104 2020/06/29 227 4076 75 1 1
105 2020/06/30 285 4361 77 2 0
106 2020/07/01 293 4654 78 1 0
107 2020/07/02 252 4906 79 1 0
