dates I C D F E
1 2020/03/18 6 30 0 0 1
2 2020/03/19 6 36 0 0 1
3 2020/03/20 7 43 0 0 1
4 2020/03/21 1 44 0 0 1
5 2020/03/22 4 48 0 0 1
6 2020/03/23 2 50 0 0 1
7 2020/03/24 4 54 0 0 1
8 2020/03/25 3 57 0 0 1
9 2020/03/26 8 65 0 0 1
10 2020/03/27 4 69 0 0 1
11 2020/03/28 5 74 0 0 1
12 2020/03/29 5 79 0 0 2
13 2020/03/30 7 86 0 0 1
14 2020/03/31 3 89 1 1 1
15 2020/04/01 6 95 1 0 1
16 2020/04/02 6 101 1 0 2
17 2020/04/03 4 105 1 0 1
18 2020/04/04 9 114 2 1 1
19 2020/04/05 1 115 3 1 1
20 2020/04/06 8 123 3 0 1
21 2020/04/07 7 130 3 0 1
22 2020/04/08 19 149 3 0 1
23 2020/04/09 11 160 3 0 1
24 2020/04/10 21 181 3 0 1
25 2020/04/11 7 188 3 0 1
26 2020/04/12 10 198 3 0 1
27 2020/04/13 23 221 3 0 1
28 2020/04/14 18 239 3 0 1
29 2020/04/15 20 259 3 0 1
30 2020/04/16 26 285 3 0 1
31 2020/04/17 15 300 4 1 1
32 2020/04/18 9 309 4 0 1
33 2020/04/19 9 318 5 1 1
34 2020/04/20 27 345 6 1 1
35 2020/04/21 19 364 7 1 1
36 2020/04/22 20 384 7 0 1
37 2020/04/23 11 395 9 2 1
38 2020/04/24 21 416 9 0 1
39 2020/04/25 17 433 9 0 1
40 2020/04/26 17 450 9 0 1
41 2020/04/27 35 485 9 0 1
42 2020/04/28 30 515 10 1 1
43 2020/04/29 33 548 10 0 1
44 2020/04/30 30 578 10 0 1
45 2020/05/01 46 624 10 0 1
46 2020/05/02 37 661 11 1 1
47 2020/05/03 27 688 12 1 1
48 2020/05/04 56 744 13 1 1
49 2020/05/05 51 795 13 0 0
50 2020/05/06 55 850 15 2 0
51 2020/05/07 68 918 15 0 0
52 2020/05/08 63 981 17 2 0
53 2020/05/09 45 1026 17 0 0
54 2020/05/10 57 1083 19 2 0
55 2020/05/11 95 1178 20 1 0
56 2020/05/12 106 1284 20 0 0
57 2020/05/13 130 1414 20 0 0
58 2020/05/14 70 1484 22 2 0
59 2020/05/15 117 1601 24 2 0
60 2020/05/16 84 1685 26 2 0
61 2020/05/17 64 1749 27 1 0
62 2020/05/18 148 1897 27 0 0
63 2020/05/19 154 2051 27 0 0
64 2020/05/20 162 2213 30 3 0
65 2020/05/21 114 2327 31 1 0
66 2020/05/22 161 2488 34 3 0
67 2020/05/23 101 2589 37 3 0
68 2020/05/24 88 2677 43 6 0
69 2020/05/25 126 2803 44 1 0
70 2020/05/26 206 3009 47 3 0
71 2020/05/27 216 3225 51 4 0
72 2020/05/28 180 3405 56 5 0
73 2020/05/29 195 3600 57 1 0
74 2020/05/30 118 3718 58 1 0
75 2020/05/31 90 3808 58 0 0
76 2020/06/01 267 4075 61 3 0
77 2020/06/02 222 4297 66 5 0
78 2020/06/03 193 4490 72 6 0
79 2020/06/04 173 4663 76 4 0
80 2020/06/05 182 4845 81 5 0
81 2020/06/06 107 4952 82 1 0
82 2020/06/07 75 5027 84 2 0
83 2020/06/08 150 5177 88 4 0
84 2020/06/09 152 5329 90 2 0
85 2020/06/10 150 5479 97 7 0
86 2020/06/11 148 5627 100 3 0
87 2020/06/12 158 5785 104 4 0
88 2020/06/13 84 5869 111 7 0
89 2020/06/14 73 5942 114 3 0
90 2020/06/15 231 6173 117 3 1
91 2020/06/16 175 6348 125 8 0
92 2020/06/17 159 6507 130 5 0
93 2020/06/18 173 6680 134 4 0
94 2020/06/19 150 6830 137 3 0
95 2020/06/20 92 6922 139 2 0
96 2020/06/21 81 7003 139 0 0
97 2020/06/22 183 7186 142 3 1
98 2020/06/23 157 7343 144 2 0
99 2020/06/24 164 7507 149 5 0
100 2020/06/25 118 7625 152 3 0
101 2020/06/26 129 7754 153 1 0
102 2020/06/27 63 7817 157 4 0
103 2020/06/28 61 7878 163 6 0
104 2020/06/29 190 8068 165 2 1
105 2020/06/30 130 8198 168 3 0
106 2020/07/01 99 8297 170 2 0
107 2020/07/02 97 8394 176 6 0
108 2020/07/03 101 8495 180 4 0
109 2020/07/04 48 8543 183 3 0
110 2020/07/05 49 8592 185 2 0
111 2020/07/06 136 8728 192 7 0
112 2020/07/07 118 8846 196 4 0
113 2020/07/08 98 8944 198 2 0
114 2020/07/09 87 9031 207 9 0
115 2020/07/10 98 9129 211 4 0
116 2020/07/11 45 9174 218 7 0
117 2020/07/12 39 9213 226 8 0
118 2020/07/13 114 9327 231 5 0
119 2020/07/14 87 9414 236 5 0
120 2020/07/15 127 9541 239 3 0
121 2020/07/16 67 9608 240 1 0
122 2020/07/17 94 9702 243 3 0
123 2020/07/18 22 9724 245 2 0
124 2020/07/19 30 9754 249 4 0
125 2020/07/20 91 9845 256 7 0
126 2020/07/21 41 9886 261 5 0
127 2020/07/22 50 9936 265 4 0
128 2020/07/23 59 9995 267 2 0
129 2020/07/24 50 10045 268 1 0
130 2020/07/25 22 10067 272 4 0
131 2020/07/26 26 10093 273 1 0
132 2020/07/27 72 10165 275 2 0
133 2020/07/28 50 10215 277 2 0
134 2020/07/29 36 10251 281 4 0
135 2020/07/30 48 10299 282 1 0
136 2020/07/31 59 10358 282 0 0
137 2020/08/01 32 10390 284 2 0
138 2020/08/02 36 10426 286 2 0
139 2020/08/03 63 10489 291 5 0
140 2020/08/04 55 10544 292 1 0
141 2020/08/05 37 10581 294 2 0
142 2020/08/06 35 10616 294 0 0
143 2020/08/07 43 10659 294 0 0
144 2020/08/08 25 10684 296 2 0
145 2020/08/09 15 10699 296 0 0
146 2020/08/10 43 10742 297 1 0
147 2020/08/11 44 10786 298 1 0
148 2020/08/12 55 10841 300 2 0
149 2020/08/13 23 10864 301 1 0
150 2020/08/14 31 10895 303 2 0
151 2020/08/15 24 10919 303 0 0
152 2020/08/16 20 10939 304 1 0
153 2020/08/17 44 10983 304 0 0
154 2020/08/18 41 11024 307 3 0
155 2020/08/19 34 11058 309 2 0
156 2020/08/20 28 11086 311 2 0
157 2020/08/21 19 11105 312 1 0
158 2020/08/22 16 11121 313 1 0
159 2020/08/23 8 11129 313 0 1
160 2020/08/24 29 11158 313 0 0
161 2020/08/25 33 11191 313 0 0
162 2020/08/26 28 11219 314 1 0
163 2020/08/27 22 11241 314 0 0
164 2020/08/28 27 11268 314 0 0
165 2020/08/29 14 11282 315 1 0
166 2020/08/30 15 11297 316 1 0
167 2020/08/31 19 11316 316 0 0
168 2020/09/01 31 11347 318 2 0
169 2020/09/02 26 11373 318 0 0
170 2020/09/03 16 11389 320 2 0
171 2020/09/04 21 11410 320 0 0
172 2020/09/05 9 11419 320 0 0
173 2020/09/06 17 11436 320 0 1
174 2020/09/07 17 11453 321 1 0
175 2020/09/08 31 11484 321 0 1
176 2020/09/09 16 11500 322 1 0
177 2020/09/10 20 11520 324 2 0
178 2020/09/11 16 11536 325 1 0
179 2020/09/12 18 11554 326 1 0
180 2020/09/13 12 11566 327 1 1
181 2020/09/14 37 11603 329 2 0
182 2020/09/15 20 11623 329 0 0
183 2020/09/16 25 11648 330 1 0
184 2020/09/17 23 11671 330 0 0
185 2020/09/18 17 11688 330 0 0
186 2020/09/19 15 11703 331 1 0
187 2020/09/20 15 11718 331 0 0
188 2020/09/21 27 11745 331 0 0
189 2020/09/22 31 11776 332 1 0
190 2020/09/23 29 11805 332 0 0
191 2020/09/24 25 11830 334 2 1
192 2020/09/25 24 11854 334 0 0
193 2020/09/26 18 11872 336 2 0
194 2020/09/27 17 11889 336 0 0
195 2020/09/28 34 11923 337 1 0
196 2020/09/29 35 11958 337 0 0
197 2020/09/30 35 11993 337 0 0
198 2020/10/01 25 12018 338 1 0
199 2020/10/02 42 12060 338 0 0
200 2020/10/03 22 12082 338 0 0
201 2020/10/04 23 12105 339 1 0
202 2020/10/05 39 12144 340 1 0
203 2020/10/06 41 12185 340 0 0
204 2020/10/07 38 12223 340 0 0
205 2020/10/08 37 12260 340 0 0
206 2020/10/09 40 12300 340 0 0
207 2020/10/10 26 12326 340 0 1
208 2020/10/11 15 12341 340 0 0
209 2020/10/12 59 12400 341 1 0
210 2020/10/13 38 12438 341 0 1
211 2020/10/14 36 12474 341 0 0
212 2020/10/15 37 12511 341 0 0
213 2020/10/16 41 12552 341 0 0
214 2020/10/17 40 12592 341 0 0
215 2020/10/18 28 12620 341 0 0
216 2020/10/19 63 12683 342 1 0
217 2020/10/20 54 12737 343 1 0
218 2020/10/21 68 12805 343 0 0
219 2020/10/22 57 12862 344 1 0
220 2020/10/23 53 12915 344 0 0
221 2020/10/24 31 12946 345 1 0
222 2020/10/25 27 12973 346 1 0
223 2020/10/26 49 13022 346 0 0
224 2020/10/27 54 13076 347 1 0
225 2020/10/28 49 13125 349 2 0
226 2020/10/29 50 13175 350 1 0
227 2020/10/30 43 13218 350 0 0
228 2020/10/31 41 13259 352 2 0
229 2020/11/01 42 13301 354 2 0
230 2020/11/02 91 13392 355 1 0
231 2020/11/03 80 13472 355 0 0
232 2020/11/04 90 13562 355 0 0
233 2020/11/05 98 13660 355 0 0
234 2020/11/06 92 13752 356 1 0
235 2020/11/07 54 13806 356 0 0
236 2020/11/08 58 13864 356 0 0
237 2020/11/09 116 13980 356 0 0
238 2020/11/10 119 14099 357 1 0
239 2020/11/11 130 14229 357 0 0
240 2020/11/12 170 14399 357 0 1
241 2020/11/13 165 14564 357 0 0
242 2020/11/14 71 14635 359 2 0
243 2020/11/15 93 14728 359 0 0
244 2020/11/16 235 14963 362 3 0
245 2020/11/17 248 15211 362 0 0
246 2020/11/18 238 15449 363 1 0
247 2020/11/19 226 15675 364 1 0
248 2020/11/20 210 15885 366 2 0
249 2020/11/21 64 15949 366 0 0
250 2020/11/22 80 16029 369 3 0
251 2020/11/23 204 16233 370 1 1
252 2020/11/24 163 16396 371 1 0
253 2020/11/25 104 16500 372 1 0
254 2020/11/26 72 16572 374 2 0
255 2020/11/27 115 16687 377 3 0
256 2020/11/28 68 16755 379 2 0
257 2020/11/29 69 16824 381 2 0
258 2020/11/30 234 17058 388 7 0
259 2020/12/01 257 17315 390 2 0
260 2020/12/02 314 17629 393 3 0
261 2020/12/03 422 18051 393 0 0
262 2020/12/04 208 18259 396 3 0
263 2020/12/05 247 18506 397 1 0
264 2020/12/06 174 18680 399 2 0
265 2020/12/07 307 18987 401 2 0
266 2020/12/08 415 19402 402 1 1
267 2020/12/09 509 19911 408 6 0
268 2020/12/10 258 20169 412 4 0
269 2020/12/11 212 20381 413 1 0
270 2020/12/12 90 20471 418 5 0
271 2020/12/13 89 20560 422 4 0
272 2020/12/14 282 20842 427 5 0
273 2020/12/15 239 21081 430 3 0
274 2020/12/16 225 21306 432 2 0
275 2020/12/17 182 21488 435 3 0
276 2020/12/18 161 21649 437 2 0
277 2020/12/19 83 21732 444 7 0
278 2020/12/20 93 21825 448 4 0
279 2020/12/21 240 22065 453 5 0
280 2020/12/22 265 22330 456 3 0
281 2020/12/23 189 22519 462 6 0
282 2020/12/24 95 22614 467 5 0
283 2020/12/25 63 22677 476 9 0
284 2020/12/26 103 22780 484 8 0
285 2020/12/27 95 22875 492 8 0
286 2020/12/28 279 23154 501 9 0
287 2020/12/29 256 23410 509 8 0
288 2020/12/30 215 23625 515 6 1
289 2020/12/31 166 23791 516 1 0
290 2021/01/01 70 23861 522 6 0
291 2021/01/02 96 23957 527 5 0
292 2021/01/03 88 24045 535 8 1
293 2021/01/04 241 24286 540 5 0
294 2021/01/05 147 24433 550 10 0
295 2021/01/06 171 24604 556 6 0
296 2021/01/07 247 24851 565 9 0
297 2021/01/08 180 25031 570 5 0
298 2021/01/09 65 25096 580 10 0
299 2021/01/10 69 25165 588 8 0
300 2021/01/11 158 25323 597 9 0
301 2021/01/12 111 25434 601 4 0
302 2021/01/13 92 25526 606 5 0
303 2021/01/14 124 25650 611 5 1
304 2021/01/15 106 25756 616 5 1
305 2021/01/16 36 25792 618 2 0
306 2021/01/17 38 25830 623 5 0
307 2021/01/18 69 25899 628 5 0
308 2021/01/19 67 25966 634 6 0
309 2021/01/20 81 26047 637 3 0
310 2021/01/21 72 26119 642 5 0
311 2021/01/22 86 26205 649 7 0
312 2021/01/23 34 26239 654 5 0
313 2021/01/24 34 26273 662 8 0
314 2021/01/25 96 26369 666 4 0
315 2021/01/26 48 26417 672 6 0
316 2021/01/27 72 26489 677 5 0
317 2021/01/28 54 26543 678 1 0
318 2021/01/29 44 26587 683 5 0
319 2021/01/30 15 26602 684 1 0
320 2021/01/31 24 26626 685 1 0
321 2021/02/01 73 26699 688 3 0
322 2021/02/02 43 26742 694 6 0
323 2021/02/03 53 26795 699 5 0
324 2021/02/04 36 26831 701 2 0
325 2021/02/05 45 26876 703 2 0
326 2021/02/06 19 26895 703 0 0
327 2021/02/07 12 26907 703 0 0
328 2021/02/08 29 26936 706 3 0
329 2021/02/09 22 26958 707 1 1
330 2021/02/10 30 26988 708 1 0
331 2021/02/11 38 27026 709 1 0
332 2021/02/12 24 27050 711 2 0
333 2021/02/13 7 27057 712 1 1
334 2021/02/14 7 27064 712 0 0
335 2021/02/15 7 27071 713 1 0
336 2021/02/16 20 27091 715 2 0
337 2021/02/17 13 27104 717 2 0
338 2021/02/18 14 27118 719 2 0
339 2021/02/19 26 27144 720 1 1
340 2021/02/20 6 27150 720 0 0
341 2021/02/21 10 27160 720 0 1
342 2021/02/22 14 27174 722 2 1
343 2021/02/23 22 27196 723 1 0
344 2021/02/24 20 27216 723 0 0
345 2021/02/25 13 27229 725 2 0
346 2021/02/26 7 27236 726 1 0
347 2021/02/27 7 27243 726 0 0
348 2021/02/28 8 27251 726 0 0
349 2021/03/01 26 27277 726 0 0
350 2021/03/02 10 27287 726 0 0
351 2021/03/03 10 27297 726 0 0
352 2021/03/04 16 27313 726 0 0
353 2021/03/05 13 27326 727 1 1
354 2021/03/06 10 27336 727 0 0
355 2021/03/07 5 27341 727 0 0
356 2021/03/08 9 27350 727 0 1
357 2021/03/09 8 27358 727 0 0
358 2021/03/10 10 27368 727 0 0
359 2021/03/11 15 27383 728 1 1
360 2021/03/12 7 27390 728 0 0
361 2021/03/13 11 27401 728 0 0
362 2021/03/14 6 27407 728 0 0
363 2021/03/15 15 27422 728 0 2
364 2021/03/16 20 27442 729 1 1
365 2021/03/17 11 27453 729 0 1
366 2021/03/18 17 27470 729 0 0
367 2021/03/19 15 27485 730 1 0
368 2021/03/20 12 27497 730 0 0
369 2021/03/21 6 27503 731 1 0
370 2021/03/22 17 27520 731 0 0
371 2021/03/23 15 27535 731 0 0
372 2021/03/24 8 27543 732 1 0
373 2021/03/25 9 27552 733 1 1
374 2021/03/26 16 27568 733 0 1
375 2021/03/27 24 27592 733 0 0
376 2021/03/28 12 27604 733 0 0
377 2021/03/29 27 27631 733 0 0
378 2021/03/30 21 27652 733 0 0
379 2021/03/31 28 27680 735 2 0
380 2021/04/01 20 27700 735 0 0
381 2021/04/02 30 27730 735 0 0
382 2021/04/03 12 27742 735 0 0
383 2021/04/04 16 27758 735 0 0
384 2021/04/05 56 27814 735 0 0
385 2021/04/06 32 27846 735 0 0
386 2021/04/07 33 27879 735 0 0
387 2021/04/08 24 27903 735 0 0
388 2021/04/09 28 27931 735 0 0
389 2021/04/10 15 27946 735 0 0
390 2021/04/11 14 27960 735 0 0
391 2021/04/12 24 27984 735 0 0
392 2021/04/13 30 28014 735 0 0
393 2021/04/14 19 28033 735 0 0
394 2021/04/15 22 28055 735 0 0
395 2021/04/16 28 28083 735 0 0
396 2021/04/17 10 28093 735 0 0
397 2021/04/18 11 28104 735 0 0
398 2021/04/19 15 28119 735 0 0
399 2021/04/20 21 28140 735 0 0
400 2021/04/21 19 28159 736 1 0
401 2021/04/22 12 28171 736 0 0
402 2021/04/23 21 28192 736 0 0
403 2021/04/24 15 28207 736 0 0
404 2021/04/25 7 28214 736 0 0
405 2021/04/26 26 28240 736 0 0
406 2021/04/27 13 28253 736 0 0
407 2021/04/28 16 28269 737 1 0
408 2021/04/29 14 28283 737 0 0
409 2021/04/30 12 28295 737 0 0
410 2021/05/01 9 28304 737 0 0
411 2021/05/02 7 28311 737 0 0
412 2021/05/03 34 28345 737 0 1
413 2021/05/04 22 28367 737 0 1
414 2021/05/05 19 28386 737 0 0
415 2021/05/06 41 28427 737 0 0
416 2021/05/07 11 28438 737 0 0
417 2021/05/08 8 28446 737 0 0
418 2021/05/09 9 28455 737 0 0
419 2021/05/10 23 28478 738 1 0
420 2021/05/11 14 28492 739 1 0
421 2021/05/12 8 28500 739 0 0
422 2021/05/13 18 28518 739 0 0
423 2021/05/14 15 28533 739 0 1
424 2021/05/15 7 28540 739 0 0
425 2021/05/16 3 28543 741 2 0
426 2021/05/17 11 28554 742 1 0
427 2021/05/18 6 28560 743 1 0
428 2021/05/19 5 28565 743 0 0
429 2021/05/20 9 28574 743 0 0
430 2021/05/21 5 28579 743 0 0
431 2021/05/22 7 28586 743 0 0
432 2021/05/23 9 28595 743 0 1
433 2021/05/24 6 28601 743 0 0
434 2021/05/25 2 28603 743 0 0
435 2021/05/26 7 28610 743 0 1
436 2021/05/27 5 28615 743 0 0
437 2021/05/28 11 28626 743 0 1
438 2021/05/29 3 28629 743 0 0
439 2021/05/30 3 28632 744 1 0
440 2021/05/31 4 28636 744 0 0
441 2021/06/01 6 28642 744 0 1
442 2021/06/02 4 28646 745 1 0
443 2021/06/03 6 28652 745 0 0
444 2021/06/04 11 28663 745 0 0
445 2021/06/05 4 28667 745 0 0
446 2021/06/06 3 28670 745 0 1
447 2021/06/07 6 28676 745 0 1
448 2021/06/08 2 28678 745 0 1
449 2021/06/09 9 28687 745 0 0
450 2021/06/10 3 28690 745 0 0
451 2021/06/11 6 28696 745 0 0
452 2021/06/12 5 28701 745 0 0
453 2021/06/13 3 28704 745 0 0
454 2021/06/14 9 28713 745 0 0
455 2021/06/15 12 28725 745 0 1
456 2021/06/16 6 28731 745 0 0
457 2021/06/17 3 28734 745 0 0
458 2021/06/18 8 28742 745 0 1
459 2021/06/19 2 28744 745 0 0
460 2021/06/20 1 28745 745 0 0
461 2021/06/21 9 28754 745 0 0
462 2021/06/22 4 28758 745 0 0
463 2021/06/23 5 28763 745 0 0
464 2021/06/24 7 28770 745 0 0
465 2021/06/25 3 28773 745 0 1
466 2021/06/26 3 28776 746 1 0
467 2021/06/27 4 28780 746 0 0
468 2021/06/28 14 28794 746 0 1
469 2021/06/29 8 28802 746 0 3
470 2021/06/30 9 28811 746 0 0
471 2021/07/01 8 28819 746 0 0
472 2021/07/02 17 28836 746 0 1
473 2021/07/03 6 28842 746 0 1
474 2021/07/04 10 28852 746 0 1
475 2021/07/05 6 28858 746 0 0
476 2021/07/06 19 28877 746 0 0
477 2021/07/07 15 28892 746 0 0
478 2021/07/08 7 28899 746 0 0
479 2021/07/09 12 28911 746 0 1
480 2021/07/10 8 28919 746 0 1
481 2021/07/11 13 28932 746 0 1
482 2021/07/12 18 28950 747 1 0
483 2021/07/13 30 28980 747 0 0
484 2021/07/14 11 28991 747 0 0
485 2021/07/15 29 29020 747 0 0
486 2021/07/16 23 29043 747 0 1
487 2021/07/17 12 29055 747 0 1
488 2021/07/18 16 29071 747 0 0
489 2021/07/19 37 29108 747 0 0
490 2021/07/20 27 29135 747 0 0
491 2021/07/21 20 29155 747 0 0
492 2021/07/22 12 29167 747 0 0
493 2021/07/23 30 29197 748 1 1
494 2021/07/24 12 29209 748 0 1
495 2021/07/25 20 29229 748 0 0
496 2021/07/26 36 29265 748 0 1
497 2021/07/27 40 29305 748 0 0
