dates I C D F E
1 2020/03/18 0 0 0 0 2
2 2020/03/19 0 0 0 0 2
3 2020/03/20 0 0 0 0 2
4 2020/03/21 1 1 1 1 2
5 2020/03/22 0 1 2 1 2
6 2020/03/23 2 3 5 3 2
7 2020/03/24 2 5 10 5 2
8 2020/03/25 0 5 15 5 2
9 2020/03/26 3 8 23 8 2
10 2020/03/27 1 9 32 9 2
11 2020/03/28 0 9 41 9 2
12 2020/03/29 0 9 50 9 2
13 2020/03/30 1 10 60 10 2
14 2020/03/31 0 10 70 10 2
15 2020/04/01 0 10 80 10 2
16 2020/04/02 0 10 90 10 2
17 2020/04/03 1 11 101 11 2
18 2020/04/04 0 11 112 11 2
19 2020/04/05 0 11 123 11 2
20 2020/04/06 0 11 134 11 2
21 2020/04/07 1 12 146 12 2
22 2020/04/08 0 12 158 12 2
23 2020/04/09 0 12 170 12 2
24 2020/04/10 1 13 183 13 2
25 2020/04/11 2 15 198 15 2
26 2020/04/12 0 15 213 15 2
27 2020/04/13 2 17 230 17 2
28 2020/04/14 0 17 247 17 2
29 2020/04/15 0 17 264 17 2
30 2020/04/16 0 17 281 17 2
31 2020/04/17 2 19 300 19 2
32 2020/04/18 0 19 319 19 2
33 2020/04/19 0 19 338 19 2
34 2020/04/20 0 19 357 19 2
35 2020/04/21 0 19 376 19 2
36 2020/04/22 0 19 395 19 2
37 2020/04/23 0 19 414 19 2
38 2020/04/24 0 19 433 19 2
39 2020/04/25 0 19 452 19 2
40 2020/04/26 0 19 471 19 2
41 2020/04/27 0 19 490 19 2
42 2020/04/28 0 19 509 19 2
43 2020/04/29 0 19 528 19 2
44 2020/04/30 0 19 547 19 2
45 2020/05/01 0 19 566 19 2
46 2020/05/02 0 19 585 19 2
47 2020/05/03 0 19 604 19 2
48 2020/05/04 0 19 623 19 2
49 2020/05/05 0 19 642 19 0
50 2020/05/06 0 19 661 19 0
51 2020/05/07 0 19 680 19 0
52 2020/05/08 0 19 699 19 0
53 2020/05/09 0 19 718 19 0
54 2020/05/10 0 19 737 19 0
55 2020/05/11 0 19 756 19 0
56 2020/05/12 0 19 775 19 0
57 2020/05/13 0 19 794 19 0
58 2020/05/14 0 19 813 19 0
59 2020/05/15 0 19 832 19 0
60 2020/05/16 0 19 851 19 0
61 2020/05/17 0 19 870 19 0
62 2020/05/18 0 19 889 19 0
63 2020/05/19 0 19 908 19 0
64 2020/05/20 0 19 927 19 0
65 2020/05/21 0 19 946 19 0
66 2020/05/22 0 19 965 19 0
67 2020/05/23 0 19 984 19 0
68 2020/05/24 0 19 1003 19 0
69 2020/05/25 0 19 1022 19 0
70 2020/05/26 1 20 1042 20 0
71 2020/05/27 0 20 1062 20 0
72 2020/05/28 0 20 1082 20 0
73 2020/05/29 0 20 1102 20 0
74 2020/05/30 0 20 1122 20 0
75 2020/05/31 0 20 1142 20 0
76 2020/06/01 0 20 1162 20 0
77 2020/06/02 0 20 1182 20 0
78 2020/06/03 2 22 1204 22 0
79 2020/06/04 0 22 1226 22 0
80 2020/06/05 0 22 1248 22 0
81 2020/06/06 0 22 1270 22 0
82 2020/06/07 0 22 1292 22 0
83 2020/06/08 0 22 1314 22 0
84 2020/06/09 0 22 1336 22 0
85 2020/06/10 0 22 1358 22 0
86 2020/06/11 0 22 1380 22 0
87 2020/06/12 2 24 1404 24 0
88 2020/06/13 0 24 1428 24 0
89 2020/06/14 0 24 1452 24 0
90 2020/06/15 1 25 1477 25 0
91 2020/06/16 0 25 1502 25 0
92 2020/06/17 0 25 1527 25 0
93 2020/06/18 1 26 1553 26 0
94 2020/06/19 1 27 1580 27 0
95 2020/06/20 0 27 1607 27 0
96 2020/06/21 0 27 1634 27 0
97 2020/06/22 2 29 1663 29 0
98 2020/06/23 0 29 1692 29 0
99 2020/06/24 0 29 1721 29 0
100 2020/06/25 0 29 1750 29 1
101 2020/06/26 3 32 1782 32 0
102 2020/06/27 1 33 1815 33 0
103 2020/06/28 0 33 1848 33 0
104 2020/06/29 0 33 1881 33 0
105 2020/06/30 1 34 1915 34 0
106 2020/07/01 0 34 1949 34 0
107 2020/07/02 1 35 1984 35 1
108 2020/07/03 0 35 2019 35 0
109 2020/07/04 0 35 2054 35 0
110 2020/07/05 0 35 2089 35 0
111 2020/07/06 1 36 2125 36 0
112 2020/07/07 0 36 2161 36 0
113 2020/07/08 1 37 2198 37 0
114 2020/07/09 0 37 2235 37 0
115 2020/07/10 2 39 2274 39 0
116 2020/07/11 0 39 2313 39 0
117 2020/07/12 0 39 2352 39 0
118 2020/07/13 2 41 2393 41 0
119 2020/07/14 1 42 2435 42 0
120 2020/07/15 0 42 2477 42 0
121 2020/07/16 0 42 2519 42 0
122 2020/07/17 0 42 2561 42 0
123 2020/07/18 0 42 2603 42 0
124 2020/07/19 0 42 2645 42 0
125 2020/07/20 4 46 2691 46 0
126 2020/07/21 2 48 2739 48 0
127 2020/07/22 1 49 2788 49 0
128 2020/07/23 4 53 2841 53 0
129 2020/07/24 2 55 2896 55 0
130 2020/07/25 0 55 2951 55 0
131 2020/07/26 1 56 3007 56 0
132 2020/07/27 5 61 3068 61 0
133 2020/07/28 0 61 3129 61 0
134 2020/07/29 2 63 3192 63 0
